,artist_name,title,album,lyrics,date,url
28,Regula,07,Mixtape Kara Davis Vol. 2 Lisa Chu,,,https://genius.com/Regula-07-lyrics
29,Regula,Haja,Casca Grossa,"You know I do this for my homies
Only if you know what I'm really talkin' about
All the youngsters and the old g's that passed away
I hope yall can see how we're doing down here
We keep reppin' the city for yall
Because whoever died ain't dead here
You see them on the shirts or their name on head gear
It's all good in the small hood

Rest in peace Pedro Pula, o último boy que me disse
Aqui não há segredos Gula
Junta um bolinho e eu vou-te levar ao meu arrego Gula
E é o mais próximo que tu tens pa tar numa rede de mulas
You know leva traz, traz e leva
Se tás na berra sabes o que é que a gente faz whatever
Yeah
Tu sabes o que é que a gente faz com erva
Embrulha tudo acende e o que não quiseres mais conserva
Na minha zona ou a bongó filou-te
Ou senão tás na lista dos que se fazem à pista
Mah nigga és co-piloto
Queres o quê da KKK? boy eu posso e dou-te
Só cuspo real shit, o resto são gafanhotos
Um zero à esquerda no tiro ao alvo, só canhotos
Estica-te e és o próximo a dizer adeus só com os cotos
Guita suja, uns limpam o pó dos outros
Os homens passam, é como se tivesse com os óculos foscos
Dantes, quando eu via a bófia em spots
Entrava nos cafés e viravam coffee shops
(ai não!)
Yeah cocktails molotovs e shots
Com a turma toda em peso pa nu brinda gosi shots
Tudo por conta da casa, tu gastas grana da conta da casa
Enquanto as outras contas atrasam
Boy aqui todos nós trazemos pombas pa casa
Uma mão lava a outra e as duas seguram as pontas da asa
O meu nigga Bruce Lee, despachou tudo o que eu trouxe b
Tinha a banca aberta quando me apercebi
Eu nunca consumi e tudo aquilo que tenho foi
Tudo aquilo que eu consegui foi assim como eu subi
Real recognize real, thats real talk
Agora eu tou chill à espera que o grilo toque
Sempre a tentar fazer uns quantos mil só que
Isso só acontece, quando eu apanho um deal forte
Yeah, sabes daquilo que eu falo, vale tudo motherfucker
Menos quilos de sal
E tu talvez precises duns vales, por isso
Deixa-te andar na linha e não me pises os calos
Boy we livin' the life, shoutouts po meu nigga Size
Man that nigga nice
Põe só os teus tropas no move, distribui bem a guita boy
E corta os abusos",2015-03-09,https://genius.com/Regula-haja-lyrics
30,Regula,Sam The Kid/ Regula,Mixtape Kara Davis,"Gula pergunta-me se eu bulo
Tu bules?
Yah sim bulo
Foi difícil chegar aqui pra ser um símbolo
Eu fico assim fulo porque eu não simulo
'Pra ir pó cimo do pódio desiludo o ódio
Que a atitude é fuck you
(Nepia men boys estão desesperados)
Okay eu sou tu pareces eu faço tu aconteces
Não comeces man, tu não me conheces
Eu podia te escrever uns versos mas não mereces
Por isso não me peças atenção se tu não me aqueces
Não vais chegar a ribalta sem amor a camisola
Só fazes falta quando jogas a bola
Vai te embora men volta pá escola!
Leva esta rima toma uma esmola
Toma este livro e da-me a pistola
Andas perdido e com stress man tu só desapontas
Toma um GPS e vê se te encontras
Nem me agradeças que eu faço com que emagreças
Se pensavas ser BIG MAN
'Tás atrasado e metes-te com o big ben?
Boy ele está armado em coiote
E eu sou o mick mick mewwwwww
Não me apanhas nem me acompanhas
Nem que venhas com campanhas
É melhor que te mantenhas tranquilo
Sem vacilo e nos subimos montanhas
Agora larga o meu shoe
E para a choraminguisse isso é chunga já disse é lixo
Que põem a gente ensonada e vê-se que é encenada
(Samuel o que é que pensas do diss?)
Não penso nada!!!!!
Só pode ser atenção ou tensão pré-menstrual
Eu estava no meu canto como um tradutor gestual
Ele faz a festa e ele apanha o foguete
Mas honestamente ele quer um dueto
Eu sei que isto está mal e não tens graveto (nã)
Toma uns trocos e vai comprar um corneto (olá)
Boy fica no teu canto eu prometo (a sério)
Que numa battle não te meto no tapete (não ponho)
Não és o 50 man não tens o colete
Se pensas que a rima é para ti enfia o teu capacete
Eu não queria estigar-te man mas é necessário
Dizer-te ""tu 'tas verde como o cesário""
E tu até rimas fat só te falta um bom empresário
Dá-me um toque que a gente vai almoçar
É o que tu queiras ou pretendas ou aquilo que defendas
Eu dou-te como prendas
Considera o teu aniversário
Por isso não me ofendas
Tu ainda estás no infantário
Eu quero que aprendas aponta o sumário
Não ligues tanto ao cenário existe um abecedário
Porque e que o ignoras e não melhoras?
És um grande otário!!
Eu recito como o Mario viegas
E tenho um vocabulário que chegue p'ra ti
E pós teus colegas que tu empregas
Mas não pagas salário e terminas solitário
Porque ele é teu funcionário mas tem regras
Depois porque é que negas o teu destinatário?
Esqueci-me do que disse estava num aquário
Peixe do caralho ainda morres pela boca
Tira a touca vem pra fora GAY sai do armário
Enquanto eu fumo e bebo
Tou a ouvir este maçebo (fala-me)
E eu percebo eu sou poliglota
Tou a passar pela Alameda
Com uma quinta da aveleda gula tu já tens a ceda ?
Então acende a bolota, b

Tu es wack biri, e eu só paro quando eu tiver no rap city
Desde back in the days
Fiz break até aos 16
Rap e papéis, caps, backpack e anéis
E agora e só para os que fazem leque que eu dividi
Vocês não façam o que vêm no smack dvd
2 álbuns e uma mixtape é um beck do que eu vivi
Mas como é que consegues ter um buzz wack no teu CD (nãããã)
Mete no youtube, é easy b
Mesmo que sejas tu mais um Ice Cube ou Eazy-E
Desgrude!!!!
Eu sou um reles à parte
Eu falo em bónus como se fosse o Mandrugas
E é só peles no quarto
Eu sei , eu sei é o que quiseres boy duelos
Combates mas não compares caramelos com craques !!!!
São paralelos aos fracos
Já não és o primeiro a tentar a sorte
Eu sou barbeiro não me custa nada aplicar um corte
E tu não queres os golpes do grifo
E que te remendem o queixo
Eles querem beef porque só vendem peixe (a sério????)
Eu fecho tasco ou então eu fecho o casco
Eu sou do oriente o homem Gama e fecha o Vasco
Se for preciso porque nada disto paga os gastos
Eu tenho quem te faça mal boy e apaga os rastos
Eu desmonto por peças
E 'tou pronto para essas bocas podres
B, eu só ouço promessas
Eles têm que vir com protecção p'a esta secção
E eu não quero saber quantos é que são
Façam flexão
P'o aquecimento eu peço imenso
O mike tá a fazer e eu vou-te por a passar mal
Tipo vai te cozer
Yah
P'ra mim o que eu fiz ao Black Mastah é party
Eu tinha fumado mais packs que um rastafari
E eu não quero saber quanto é que tu num ano vendes
Marca a battle mas com um preço certo , Fernando Mendes
Eu ponho o dobro do que tu metes
E não sei se tu tipo tens
Eu ponho-te a fazer mais scratch do que DJ's nigga
Uns tão fodidos porque eu pus o Zuka no ar
E os outros, querem roubar o meu vocabulário aos poucos
Amo o desporto mas se for necessário
Eu já não jogo boy eu arrumo o meu adversário aos socos
Nãã e eu ja nem fighto sam se eles querem battles
Vão ter de ir ter com o meu hype man
B, olha p'o site man eles só falam do teu patrocínio da nike, Sam Deixa-os falar man ohhh
Onde é que é a night man?
Easy, a gente rebenta o open mic, Sam",2007-08-13,https://genius.com/Regula-sam-the-kid-regula-lyrics
31,Regula,Dicas,Tira Teimas,"Oh shit
Foda-se, Gula, Sam, mais uma vez, são dicas, com dicas...
O que é que vais fazer boy?

I'm about to pôr a pussy a tocar-me a flauta
Mas as notas que ela lê não condizem com as da pauta
E eu tou em altitude, falo alto e rude
Eu calo-te e tudo, eu salto e mudo de spot boy
E eu sou o miúdo tal que ajuda a fazer o spot
Musical para depositá-lo a quem se porte
À altura da criatura que cria com o coração
A vida é a viatura que guia uma alteração
Numa de exploração de cuspo, excepto expectoração
Disket para a produção...
Despede-te da profissão
Moleques não fixam, que são wacks, eu vi que são
Com projectos semelhantes ao rap sem opção, não!
Eu não vos sinto though, boy isto é peep show
Niggaz com deep flow, vocês são tipo slow
Eu e os meus peepz é simples
Queremos é beats e drinks
E continuamos a trabalhar boy por mais que tu brinques
Nós somos brancos, não somos broncos, não somos tantos
Nós somos poucos, não contes com os outros
Que aquecem bancos
'Tão doentes mas eu sou enfermeiro, eles só fazem chiqueiro
Em Chelas sou um rafeiro por isso tu não cantes...
...De galo à espera que um dos manos fale
Boy, nenhum dos manos vale a pena
Não te damos tal atenção
E eu coço a cabeça até que algo apareça
Embora eu me esqueça que eu não te conheço
A gente vê-se
Na próxima vês que metas no rap uma erecção
Tu bates 'nhetas eu faço sexo na minha secção
Não és completo és complexo então esquece a complexão
E quantos é que são que não se mancam como o Jackson?!",2005-06-20,https://genius.com/Regula-dicas-lyrics
32,Regula,Passemos a Coisas Sérias,Tira Teimas,,2005-06-20,https://genius.com/Regula-passemos-a-coisas-serias-lyrics
33,Regula,Hollyhood & regula,Mixtape Kara Davis,"(ah)
Kara Davis (Kara Davis)
(ah)
Yoo Gula vamooos
Holly Hood Hood (ah)
(yeah) (ah)
Kara Davis

Eu passo a vida no meu block, com quem lá vive
E eu não dou uso à glock porque nunca a tive
Boy eu dou uso ao hip-hop, tou no ativo
Como a policia de choque em Tel Aviv (no no)
Não digas o meu nome no teu show por favor
Porque o meu chino tá-te a ver, ele é espectador
Entende que viver do rap não rende
E a tua escrita só dá guita se for no teu testamento
Porque tu não tens acordes nem a voz vital
Estica-te e pode ser que acordes num hospital
Tu picas-te em balas e espigas tu ficas sem falas
E niggas controlam batidas com tambores de seis balas
E groupies nunca foram minhas adeptas, sabem porquê?
(Porquê nigga?)
Porque eu passo a vida a foder rappers
E é só blá blá blá que eu ouço nas streets
Vocês falam bué deviam lançar mixtapes de Skits

Yeah, façam-se á pista (ah)
Se tu tens guita á vista (oh)
Se não tens alguem que invista (ahhh)
Ma nigga baixa a crista (faz-te á pista)
People do catuja (fuck it)
Linha da Azambuja (pó)
People da guita suja (pó)
Xipiti e pó curuja

Boy eu 'tou com tesas
Só carregam sacas do peluche
Mas com certeza
Que eu procuro as vacas do luxo
Porque muitos deles 'tão a acabar com as suas facas no bruxo
E rezam para não acabar com duas facas no bucho
Na música pus meia dúzia
No mapa impus o capuz
Diz às áreas para não falarem
Na zaca que eu puxo
Os atrasados falam coisas do moço
Os meus peoples não são casados
Mas tem todos noivas no bolso
Porque os que ??? querem branca de neve e siga
Quando eu cuspo os peeps dizem heavy nigga
Mas ele é branco, fuck it, paciência nigga
É como o Bad Spirit, eu tenho influência negra (yah)
Muitas deles ouvem mas não compreendem
A maior parte faz download ou compra e vendem
E no meu bloco não tens voto na matéria
Os putos fazem a ti
O mesmo que fizeram ao NBC na Nigéria (eles afanam-te)",,https://genius.com/Regula-hollyhood-and-regula-lyrics
34,Regula,06,Mixtape Kara Davis Vol. 2 Lisa Chu,,,https://genius.com/Regula-06-lyrics
35,Regula,Kara Davis,Mixtape Kara Davis,,2007-01-07,https://genius.com/Regula-kara-davis-lyrics
36,Regula,+ Uma Vez,Tira Teimas,"Ayo, I'm back again
What's happenin'?
No matter where I'm in
Eu tenho 'tado atento (Tens?)
Tu continuas lento
Sem um flow decente
Isso porque te ocupas da vertente só no teu passatempo
Por mais que não queiram
Para mim não há passatempo players
Porque eu passo o meu tempo todo a arranjar novas ideias
Tua atitude é tensa
Logo a nossa diferença
É que em cima do palco sentes a minha presença
Tua voz é doença
Aceita isso como uma ofensa
Não te aproximes do mic
Ninguém te deu licença
Ayo, you know me biri
Putas call me pretty
Eu só relato o dia-a-dia do Catanga city
Represento Catanga
For real sem tangas
São três ou quatro niggas
Não é preciso mil capangas
Putos e pitbulls
Na zona sem bules
Para ti sou mais old school
Que caps da Chicago Bulls

Who's the barber shop?
Que parte o haircut
Sou eu alone, não necessito de backup
Na Encruzilhada, boy, a bulir com o Cruzfader
Still drunk for life com o people lá do neighbour
Who's the barber shop?
Que parte o haircut
Sou eu alone, não necessito de backup
Na Encruzilhada, boy, a bulir com o Cruzfader
Still drunk for life com o people lá do neighbour

Matas-te a fumar picas
Para ver se comunicas
Mas tu não sobressais então é porque não te aplicas
Porque é que tu criticas?
Vês na merda que ficas?
(Diferença é que eu rimo na descontra
Não forço dicas)
Bitches são sempre aquelas
Não há conversa p'a elas
Só percebem de limpezas
Porcelanas e panelas
Elas são o pinóquio
I don't believe you, fuck you
Não sou cabine mas podes fazer chamadas p'a tóquio
'Tão a passar a perna
A todo aquele que hiberna
Passei a minha tropa a fumar pipes na caserna
Vamos brindar à nossa
Na tua zona ou na nossa
Tão putos a manter o business dos bosses que 'tão de choça
Eu não sou gangsta, boy
Nem critico quem for
Sou tipo Tekilla que come e observador
Não vives o que rimas
Só falas do que ouviste
Porque tu não precisas contar nada que eu já não tenha visto
(É só p'rós real)
Mas é so mesmo prós reals
Porque bué nigga's cantam comigo
Mas eu não conto com eles
(Bellini) AKA Regulation
Bitch and i'mma break this like situation shit


Nigga's nunca mais me viram no território
Porque eu tive a cumprir o meu serviço obrigatório
E agora mais uma vez de volta ao laboratório
Crio obrigatoriamente, desvendo o meu relatório
Eu e o meu big fella
Desde aquela abre a goela mais paralela
Que sa foda o racismo
Não é nenhuma cor da pele que me pela
Sejas da vila ou favela
Beto, da minha, é naquela
Um dia alguém me disse com voz de bagaço
Onde quer que eu morasse
'Tá pronto pa' dar o braço
Com quem 'tava a crescer e aprender com quem me ensinasse
É mais um passo p'ra abrir a pestana
Biri tu já reparaste que eu bazo pó enrasco qualquer bacana
Agora acende um kaya
'Pós que tão de cana
Nigga I'm on fire
Tipo, combustão humana
O teu estilo é waya waya
O meu coração não derrama
Uma lágrima que caia em relação a putanas

Ye cara podre
Pah rewind, caga nisso memo
É uma cena me'mo foda-se
Mais uma vez, vá só mais uma vez
Quem sente sente quem não sente não sente
'Tá limpo boy, acabou
'Tá limpo me'mo, Almeidas a gente limpa esta merda
One love vocês sabem  sempre foram aqueles niggas
E agora Magnum 44 também com beats",2005-06-20,https://genius.com/Regula-uma-vez-lyrics
37,Regula,Brasas,Tira Teimas,"Ye, Ye
Chelas!
Catanga, boy!

Esta é a longa caminhada de evolução controlada
Remember spit rhymes, boy, like no other!
Tipo Smith & Wesson, gira o splif sem stressin
Puff na relaxin, Furão és o next, man
Team tá no aúdio, niggas tão on the run
'Cês são um derrame só vieram ao mundo, por engano
Agora é um a um ou seja, one on one
Guarda as armas no baú, battles é mics e drums
E eu sou infame, fazer o que eu amo
Trazer o que eu chamo de dama fat, com fat de rap urbano
Conheci-a na poesia, trazia etnias à mistura
Quantias, de clias, e uni-a à cultura
Pura com cobertura, mais flavour do que satura
Tipo duracell, stell que só memo mel
Dura e relaxa porque quem procura acha
Boy, mas nem sempre lá chega
Manter postura, dura e agredir figuras, já chega
Fazerem rostos feios para afirmar a crew mais tesa
Porque hoje em dia toda a gente tem meios de defesa
Ou meios de ataque
No momento Kodak gabar-se do acto que abateu o fraco
Porque assim tu ficas com um buraco
Queres servir no me'mo prato?
Taco a taco, na rua ou no parque, duelos no mato
E no momento exacto pacatos vão ficar durões
Com armas, com miras reguladas por putos furões

Porque é à pala da boca dos outros que o beef flutua
Muita gente fala, poucos papam e nervos actuam
E não se habituam a aceitar uma derrota
Por mais medo que possuam, suam sempre e alguém nota
Que 'tás com um pé atrás, e és incapaz
Dar uso ao que trazes, por isso age, pensa no que fazes
Ou então tu hás-de de aprender a teu custo próprio, não sabes?

Beef a sangue quente vem com shot a sangue frio
Para fazer mais sangue frente a quem puxa o desafio
Depois há mil vias que adiam, beefs precoces
Não ligues a vozes que te deixam p'a troces
Depois de completares missões
Com remorsos nos ossos
Com poucas hipóteses, com ou sem reforços, sem munições
Por mais que penses que tens um best off de uniões
Sem poses não forces porque podes perder pulsações
Da violência às urgências é só um minuto curto
Pesa as consequências e pensa no teu futuro, curte a vida
Seja curta ou comprida
Esteja rica ou falida
Mas não feches muito a pestana
Também podes vir a ter má experiências
Com bué da decadências
E se assim for no futuro não farás reminiscências
O meu quotidiano no ano, é humano quando zangas
É o mano que te zangas, que te dão pano p'ra mangas
Eu não dramatizo eu dou o sorriso que tu mancas
Eu vejo dealers dar p'ra killers quando beefam por bancas
Em spots que não abancas só servem pa pára-arrancas
Onde eles te guiam e vigiam com armas brancas
Não tens tempo suficiente para frequentares um ginásio
No momento ficas mais sorridente se andares ao balázio
Com alma kamikaze oculta por uma reputação
Na versão de alguém que insulta na ego competição
Isto é rotação na luta com muita inconclusão
Porque a brasa não acaba há sempre um primo ou um irmão
Define a finalização, numa só de afirmação
Mas agora tenta-te pôr no outro lado da versão
Imagina como seria de um momento para o outro
Seres atingido e teres que viver sem um membro do corpo?
Não imaginas, nem eu imagino, apenas suponho
Falo pela boca de alguém que já viveu um sonho

Porque é à pala da boca dos outros que o beef flutua
Muita gente fala, poucos papam e nervos atuam
E não se habituam a aceitar uma derrota
Por mais medo que possuam, suam sempre e alguém nota
Que 'tás com um pé atrás, e és incapaz
De dar uso ao que trazes, por isso age, pensa no que fazes
Ou então tu hás-de de aprender a teu custo próprio, não sabes?",2005-06-20,https://genius.com/Regula-brasas-lyrics
38,Regula,Especial,1ª Jornada,,2002-02-01,https://genius.com/Regula-especial-lyrics
39,Regula,Logo Agora,Tira Teimas,"Logo agora

Embora eu volte e já não baze
Com a mesma gana de sempre
Com que se amanda um kamikaze
Não tens fogo fora o talento, tu és lento fora o atraso
É melhor ficares em casa se vens com projectos fora do prazo
Eu não 'tou aqui por acaso, boy, yo..
Continuo a fazer isto pelo gosto que é suposto
Tu teres num posto
Não é permitido fazeres de encosto, porque nigga... (pffff)
Isso é o oposto do teu rosto
E esse é o motivo do teu rap ser um desgosto
Frequentaste um dicionário com o vocabulário gasto
Tu sofres acidentes e a tua boca é um desastre
Ainda não notaste o significado do teu rasto?
És um exemplo prós mais novos
Devias 'tar dentro de um frasco
Com todas as instruções para não seguirem a me'ma linha
Fuck as indicações que a tua música tinha
Isto é um trajecto e a tua obra não caminha
Queres um conselho?
Nunca andes com uma ex companheira minha
Desde da folga que eu lá deixo, por mais que levantem o queixo
Tento fazer o mínimo para que nenhuma delas se queixe
Tudo o que vem à rede é peixe? Na, na, na, na...
Dispenso, porque pode haver um desleixo
E não chegámos a um consenso
Eu penso que
Bitch o que tu fazes é lixo
Mas que se lixe, uma vez que tu não queres saber eu quis
Já fiz muita coisa que não devia, eu sei
Mas mesmo assim tu não desvias aquilo que eu pensei
Não podes reclamar nem apontar o dedo, tu sabes
Andas-te a tentar infiltrar em espaços onde não cabes
A minha atitude é street porque é de lá que eu venho
E eu sacudo um beat como o dick no banho, boy
Não critiques os tiques que eu tenho
Fuck o freak que implique com o meu desempenho
Niggaz dizem, ""o Gula, eu não curto vê-lo""
É dor de cotovelo
Considera a punchline como um bruto selo
E pa' percebê-lo?!
E niggaz fazem, naaa, fuck niggaz
Porque tu não me obrigas a nada, tu só ligas à farda
E os niggaz que tu espigas não são grande espingarda
Deixa-te de cantigas e antes que prossigas, aguarda
Senão estigas caiem-te em cima tipo vigas, não tarda
Porque eu faço de ti o nigga mais insignificante
Enquanto tu me observas numa battle num canto
E nesse mesmo instante eu manco-te e não duras tanto
Portanto eu não respeito o que sai da boca de um ignorante
Motherfucker",2005-06-20,https://genius.com/Regula-logo-agora-lyrics
40,Regula,É Lá Na Zona,Tira Teimas,"São merdas do dia-a-dia e a merda já não varia
São speeds lá sucedidos devidos à baçaria
Não são todos, muitos ou poucos, são a maioria
Se muitos voltassem atrás
Muita coisa mudaria
E às vezes a vossa mania, faz com que os outros aos poucos
Vos descarreguem em cima toda a raiva e agonia
Vocês não sabem o que são limites nem pontos terminais
'Tão sempre a pisar a linha para ver quem se afirma mais
Cagamos nesses motherfuckers por mais que não pareça
E os que desmarcam sozinhos para irem encher a cabeça
Nunca vos pedimos nada, não compreendo a ganância
P'ra mim eu considero isso boy, mais um trauma de infância
E à pala de intrigas, niggas que criam acção
Refiro-me aos jealousy, da minha criação
Que o gabam o tempo de andarmos de baloiço e corrimão
Como se não sentissem o desprezo quando me apertam a mão
Porque conviver com paus de dois bicos já não resulta
Limitem-se a respeitar todo aquele que vos insulta

É lá na zona
Que o panorama me emociona
Mas ainda há lá muita coisa que não se relaciona
É lá na zona
Que eu relato composições
De mais um sítio donde existe convívio com divisões
É lá na zona
Que eu manco como elas se movem
Quando é comigo ou com os meus niggas que elas se envolvem
É lá na zona
Que me admira a inspiração
Dos que 'tão debaixo da mira e não se retiram

Lá na zona os reals, são todos iguais, não há boss's
Só jealous a falar mal da vida de quem tem mais posses
""Ele tem isto tudo e não bule, de onde é que o kumbu vem?""
Dizem os que só lá param quando lá pára a nuvem
Dá-me graça na zona, damas a dar p'a basofe
E afinal já giraram mais de metade dos niggas do coffee
Elas não querem ser e eles tão fartos de empregos
Preferem tar orientados a viver dos arregos
Passam a vida na batida a dar a boca aos borregos
Porque quando a vida 'tá em risco
Quase ninguém poupa segredos
E os pragados lá sem um centavo na algibeira
A ver os vivos a bombar material de uma tal maneira
São os que têem a conta bancária a aumentar na gaveteira
E muitos infelizmente já c'a penca na kizampeira
Niggas, não é para levarem isto como sermão
Mas se assim continuarem os próximos anos como serão?
Oiçam a voz de alguém que fala com preocupação
Porque nem toda a gente embala na melhor direcção

É lá na zona
Que o panorama me emociona
Mas ainda há lá muita coisa que não se relaciona
É lá na zona
Que eu relato composições
De mais um sítio donde existe convívio com divisões
É lá na zona
Que eu manco como elas se movem
Quando é comigo ou com os meus niggas que elas se envolvem
É lá na zona
Que me admira a inspiração
Dos que 'tão debaixo da mira e não se retiram",2012-02-13,https://genius.com/Regula-e-la-na-zona-lyrics
41,Regula,Episódios,Tira Teimas,"*copo a encher*
*discussões*
*vidros a partir*
*tiros*
*pessoal a fumar*

Nascido nos Olivais, criado no Catujal
Com muito mais sinceridade do que é habitual
Não bulo com marginais, isso não é bom sinal
Nem profissionais pra qualquer situação criminal
E nem faço vida do crime, não é isso que eu quero
Não é isso que me define, e por mais que um gajo perde
Pelas promessas ou ameaças, conversa com farsas
Com cabeças baças de diversas raças
Minha alimentação vai dos beats até às carcaças
Música e muita agitação, que se passa?
No meu quotidiano, jealous são carraças
No ar muita fumaça, fats pedem duas passas
Falo por mim e por compatriotas, putos e cotas
Não temos tempo p'rás tuas anedotas
Por mim e por qualquer nigga da minha liga
Chavalos que se fazem à life, boy, de obriga
E bates pás gringas sem jogo nem ginga
E és do tipo que fala e dá carga mas nunca se vinga
És sempre o mesmo maniento, ya, não papas pá pinta
Quem me conhece sabe que eu represento sem papas na língua

Revolucionário tipo Che Guevara e a lot of crazy's
Eu fixo a cara nos filmes da Kara Davis
Ya, é escusado, boy, eu bloco-te a coluna
O meu rap é pesado tipo Yokosuna

Niggas enchem o peito e pedem satisfações
Mas se há coisa eu não aceito é ter que dar explicações
Mo'fuckaz não têm direito a reclamações
Tenho uma imaginação fértil sem limitações
Dispenso plágio e nunca tive atento às tuas canções
Faço rap há bué da tempo e sempre fiz com precauções
E são os teus maus hábitos, e como tu há milhões
Enquanto tu e os teus p'ra sempre vão sofrer humilhações
Guarda as dicas na agenda, não tens nada que me ofenda
Niggas dizem: ""Gula não devia ter cd's à venda!""
Mas daqui não desmarco, insisto na permanência
Fica a saber que hei-de sempre fazer parte da concorrência
Mas como concorro? Contigo? Népia, não concorro!
E se isto acaba em battle é melhor chamares o pronto socorro
Porque eu não sinto sintonia, então fuck a simpatia
Tu ainda vens com os mesmos toques
Já desde o tempo que eu partia
E as frases que tu fazes, boy, qualquer um fazia
Tu não te ralas, mas quando falas dás-me azia
Não podes ser avaliado, tu nunca tiveste work
E a tua auto-criação é considerada um aborto

Revolucionário tipo Che Guevara e a lot of crazy's
Eu fixo a cara nos filmes da Kara Davis
Ya, é escusado, boy, eu bloco-te a coluna
O meu rap é pesado tipo Yokosuna

Pergunta ao Aza quem se ocupa, e em casa nada caduca
Desde a brasa com o brazuca e o lenho no meu pulmão
Com a mão em pontarias, dias de recuperação
Sem avarias graças à canduca perfuração
Desde então eu contenho a mesma respiração
Tu considera a wandera já como uma tradição
E a contradição é barreira que ninguém supera
Eu só sou hater da parceira que não é sincera
Então não digas porque é que eu sou assim para elas
O pilim e elas para mim são coisas paralelas
Um gajo precisa mas depois gasta
Por mais que o tenhas nunca basta
Sem elas peep's vêem-se à rasca
Tu gostas de tar a cagar postas de pescada
Um gajo vira costas e tu apostas numa emboscada
Eu não escrevo para me afirmar nem para o reconhecimento
Nem tou pra aqui a dizer que a vida é dura tipo cimento
Tu só falas de fases, não me falas de sentimentos
Já tive boas vazas e também graves ferimentos
Sem ressentimentos, feel me a varrer o take
Porque eu prefiro morrer real do que viver fake
Sei que trato mal as pussies faz parte do meu tipo
Fuck tilhas e trips é só com beats que eu tripo
Continuo a gravar cassetes, rimar e pilhar paletes
Não faço fretes tou cá até o meu people dar o let's go",2005-06-20,https://genius.com/Regula-episodios-lyrics
42,Regula,Indiferenças,1ª Jornada,"Hey yo, yo yo yo yo
Bitches, misses...
Sa foda, é tudo a mesma shit
It's all about the pussy
Bitches 'tão a dar pa bué
Quem é que vocês pensam que são?
Da fuck
Ya ya
É o puro, yo, o puro avacalho
Ah!
Mais uma track do Bellini
Mais uma track do Bellini

Ponho tudo em pratos limpos, não como ninguém por palhaço
Não faço isto pela paca
Mas não me importava de ganhá-la enquanto faço
Por mais ideias que me faltem, nunca recorro aos bites
But I got more ideas do que crazies têm vipes
E antes que bites, atention and listen this
What's the difference between a bitch e uma miss?
For real? For freakin' on
Até nem é muita
A diferença da bitch é que a penetração é gratuita
Não digo que a miss leve paca, nada a ver
Só tens que esperar mais uns meses
Para a necessidade se satisfazer
I know como tratá-las, domesticá-las, né?
Em casa manter sempre respeito
Mostrar quem é que mija de pé
Isto não é machismo, é tudo uma questão
De mostrar a todas elas qual é que é a sua função
Ya hate me now? I understand, next plan
If ya love what I do, then I'll do it again
Yo bitch, piss off
Misses, piss off
Desde que a pressão seja ponguda, o flow é sempre basofe
All my life o meu lema tem sido ""Never give up""
That's why my style still what the fuck, uh

Não há diferença, pussies, it's all the same, ups
E se há exceção, então eu enganei-me
É que eu fartei-me de ouvir, ver e assistir
São todas iguais, só difere a maneira de vestir
Não há diferença, pussies, it´s all the same
Não há diferença, pussies, it´s all the same
Não há diferença, pussies, it´s all the same
Hey yo, it's all the same
Hey yo, hey yo

Não 'tou aqui para 'tar a dar aulas de sexualismo
Mas se não querem responsabilidades
Então pratiquem onamismo
Usem condom, é o perfeito anti doença
Por vezes é essa ação que nos faz marcar a diferença
Com licença, tive um problema à nascença
O conteúdo do meu biberão continha sempre flow imensa
Tiba tem nexo, de ter o olho aberto e muito reflexo
Continuo amar o rap como toda a vida amei o sexo
Tântrico, nunca fui de dar para romântico
Tem mais pilhação na pele do que water tem o Oceano Atlântico
Não há que reclamá-la, todos os dias granda tala
Bellini adora quando é o álcool que fala
Sempre esperei saber fazer aquilo que sei
Talvez lá para os 30 eu farei parte dos AA
Paradas sexuais em grandes bacanais
Parti com orais e semanais em orgias pessoais
Isto é tão certo como no primeiro orgasmo parecia Start/Break
Tão certo como fake ass niggas usarem pushbags
Tão certo como antes de penetrar, eu agito
Tão certo como 18 ser o teu canal favorito
Mas se essa é a tua opinião, tens a opinião errada
Tenta ter a Sexy Hot descodificada
Vais ver que mudas de ideias, como bitches mudam de damo
Não digam que mudam de cuecas porque só mudam de ano a ano

Não há diferença, pussies, it's all the same, ups
E se há exceção então eu enganei-me
É que eu fartei-me de ouvir, ver e assistir
São todas iguais só difere a maneira de vestir
Não há diferença, pussies, it´s all the same
Não há diferença, bitches, it´s all the same
Não há diferença, punani, it´s all the same
Hey yo, it's all the same
Hey yo, hey yo
It's all the same shit
It's all the same shit
Yo yo yo yo yo
Não há diferenças
Bitches, pussies, punani
Whatever, whatever
Fuck all y'all
Peace",,https://genius.com/Regula-indiferencas-lyrics
43,Regula,Clássico,1ª Jornada,,,https://genius.com/Regula-classico-lyrics
