term|description|level|synonym|scale
cornos no ar|estar atento e curioso| coloquial|none|1
estar com dor de corno|ter sido traído em questão de amores| calão carroceiro|none|3
estar com tesão|&bullet; Homem em estado de de erecção| calão carroceiro| estar com uma ponta!; estar com touça; estar de pau feito; estar abananado; erecção|3
estar com touça|&bullet; Homem em estado de de erecção| calão carroceiro| estar com uma ponta!; estar com tesão; estar de pau feito; estar abananado; erecção|3
estar com tusa|diz-se de uma mulher com vontade de sexo| calão muito carroceiro| estar com o pito aos saltos; com a cona aos pulos; estar com o cio; estar cheia de fome|4
estar com uma ponta!|&bullet; Homem em estado de de erecção| calão carroceiro| estar com tesão; estar com touça; estar de pau feito; estar abananado; erecção|3
estar de pau feito|&bullet; Homem em estado de de erecção| calão carroceiro| estar com uma ponta!; estar com tesão; estar com touça; estar abananado; erecção|3
estar de pernas abertas para|ex.:| calão carroceiro|none|3
encharcado|ficar bêbado, beber de mais| coloquial|" bebedeira; carraspana; ramada; puta; piela; narsa; encher a cara; entornar o barril; entornar o
          caneco; ir a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na
          asa; estar com dois dedos de gramática; tomar um porre"|1
estar na merda|&bullet; sem dinheiro, a mendigar| calão|" andar ó tio ó tio; sem cheta; não ter com que comprar os melões; uma mão atrás e outra à frente;
          andar nas lonas; estar à dependura; sem um tusto; estar liso; estar teso; teso como um carapau;
          pedinchar; andar a pedir esmola; andar à moina; voar baixinho"|2
estar no refustedo|ter relações sexuais| calão||2
estar-se cagando|&bullet; não se interessar, atitude de indiferença| calão||2
estás a crescer para mim?|estás a ameaçar-me?, queres lutar comigo?| coloquial|none|1
estilha|rapidez, com elevada velocidade| coloquial| bolina; esgalha; gazonete; gáspea; na mecha; bisga; ir nas horas do caralho|1
és toda grossa|mulher ou rapariga muito jeitosa| calão| toura; tuxa; mulher boa; bomba; boazona; pitéu; conaça; fema; borracho|2
estroina|pessoa que gasta tudo o que tem e que não tem de modo boémio| coloquial| doidivanas; desmiolado; estouvado; esbanjador; perdulário|1
estupor|é um:| calão| bandalho; ser estuturado; bandido; vândalo|2
falofagia|&bullet; sexo oral masculino| calão| fazer um broche; fazer um bobó; mamada; chupa-me a pichota; fazer um bico; felácio|2
falófago|"&bullet; aquel (e|a) que chupa pénis"| calão carroceiro| brochista|3
faltar-lhe um parafuso|ser ou parecer maluco, apresentar comportamentos completamente irracionais| coloquial|" ter macaquinhos no sótão; ter um parafuso a menos; ter pancada na mola; ter a rosca moída; não
          bater bem da bola; bater mal da tola; não ser bom da cabeça"|1
famelga|família| coloquial|none|1
fanar|furtar, roubar| coloquial|" bifar; pifar; gamar; afanar; gardanho; rapinar; surripiar; roubar; palmar; empalmar; fazer mão leve
          a"|1
fanesga|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          crica; aranha; boca do corpo; xana; snaita"|3
fangiada|diz-se de algo feito com demasiada pressa| coloquial|none|1
farpa|saída de gazes intestinais| coloquial| peido; flatulência; traque; bufa; pum; bombarda|1
fazer cocó|fazer necessidades fisiológicas sólidas| coloquial|" cagar; defecar; fazer as suas necessidades; arriar o calhau; mandar um telegrama; ir enviar um fax;
          largar o barro"|1
fazer da merda pão|"tenho que (fazer|compor|realizar) o impossível"| calão|none|2
fazer farinhêra|mostrar-se impotente, não conseguir uma erecção| calão|none|2
fazer merda|| calão| fazer asneira|2
fazer tibórnia|manipular alimentos ou ingredientes originando misturas ou detritos que sujam ou incomodam| coloquial| masteigada; misturada; mixórdia; bodega|1
fazer um bico|&bullet; sexo oral masculino| calão estupidamente carroceiro| fazer um broche; fazer um bobó; mamada; chupa-me a pichota; falofagia; felácio|5
fazer um bobó|&bullet; sexo oral masculino| calão muito carroceiro| fazer um broche; mamada; chupa-me a pichota; fazer um bico; falofagia; felácio|4
fazer um broche|&bullet; sexo oral masculino| calão estupidamente carroceiro| fazer um bobó; mamada; chupa-me a pichota; fazer um bico; falofagia; felácio|5
fazer xispa e patanisca|"Confronto verbal ou epistolar com forte base ideológica ou emotiva e posições extremadas, que tem ou
          pode ter consequências significativas"| coloquial|none|1
febra|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|3
febres da pita|calores vaginais| calão carroceiro| ardiúmes na pachacha; lumes de cona|3
fecha-me essa cloaca|cala-te| calão| calar a caixa; cala o bico|2
fedor|mau cheiro| calão| pivete; catinga; futum; inhaca; odor|2
fedorento|"aquele ou aquilo que exala mau cheiro ou causa náusea (por razões físicas, psicológicas ou
          comportamentais) ,"| calão|" asqueroso; abjecto; malcheiroso; fétido; nauseabundo; nojento; putrefacto; podre; piolhoso;
          piolhento; tinhoso; andrajoso"|2
felácio|&bullet; sexo oral masculino| calão| fazer um broche; fazer um bobó; mamada; chupa-me a pichota; fazer um bico; falofagia|2
ficar piurso|&bullet; _ muito zangado| coloquial|" ficar verde de raiva; estar pior que estragado; estar fora de si; perder as estribeiras; passar-se
          dos carretos; estar virado do avesso; ficar uma fera; ficar furioso; ficar furibundo; ficar
          tresloucado; ficar deitar fumo pelas orelhas; saltar-lhe a tampa; mandar-se ao tecto; perder a
          tramontana; perder o norte; desnortear-se; ferver em pouca água; ferver-lhe o sangue nas veias"|1
ficar uma fera|&bullet; _ muito zangado| coloquial|" ficar verde de raiva; estar pior que estragado; estar fora de si; perder as estribeiras; passar-se
          dos carretos; estar virado do avesso; ficar piurso; ficar furioso; ficar furibundo; ficar
          tresloucado; ficar deitar fumo pelas orelhas; saltar-lhe a tampa; mandar-se ao tecto; perder a
          tramontana; perder o norte; desnortear-se; ferver em pouca água; ferver-lhe o sangue nas veias"|1
filho da puta|é um:| calão muito carroceiro|none|4
Filho de um saco de putas|insulto a árbitro do mais violento e arrasador que se consegue| calão muito carroceiro|" Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada; Tens mais cornos que um prato de
          caracóis meu grande filho da puta !; Corta a tua mãe às postas e faz arroz de puta"|4
filme de foda|filme pornográgico| calão carroceiro|none|3
flipar|uma forte demonstração de emoção ou sentimentos| coloquial| marar; passar-se; perder a cabeça; pirar de vez; estar a dar tilt|1
focinho|designação pejorativa da cara de alguém| coloquial| ventas; tromba; fronha; cara|1
foda|copular| calão muito carroceiro|" pinocada; queca; coito; tricofáix; dar uma rapidinha; dar uma trancada; dar uma caimbrada;
          berlaitada; cambalhota"|4
foda-se!|interjeição de desagrado ou de espanto| calão muito carroceiro| caralho!; carago!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!; puta que pariu!|4
foder|causar prejuízos ou embaraços a alguém| calão carroceiro| quilhar; tramar; lixar; prejudicar|3
fode-te e bebe água!|é um:| calão carroceiro|none|3
fodilhão|homem que fode muito e com muitas| calão carroceiro|none|3
fodo-te todo à porrada|ameaça muito séria| calão carroceiro|none|3
foi para o caralho|perder-se, ser roubado, avariar, morrer| calão| ir para o maneta; ir para o estaleiro; foi um ar que lhe deu; ir à vida|2
fornicar|ter relações sexuais| calão||2
frango|golos que era de fácil defesa| coloquial|none|1
frenicoques|arrepios, contracções corporais, por impaciência ou irritação| coloquial|none|1
fufa|homossexual feminina| calão carroceiro| lésbica; fessureira; sapatona; caminhoneira|3
furar|tirar a virgindade a (mulher) | calão carroceiro|none|3
gabarolas|diz-se de alguém muito convencido, arrogante e que se gaba mesmo do que não faz| coloquial| granadas; ser um convencido; armante; fanfarrão|1
gabarolices|"gabar-se de talentos, capacidades e coisas diversas com grande exagero (e por vezes com pouca
          verdade) "| calão| bazófias|2
gajo|usa-se como um modo, ligeiramente irreverente, de referir uma pessoa| coloquial| tipo; meco; caramelo; indivíduo; fulano; fabiano; bacano; mano; melro|1
galar|&bullet; cavalheiros que tentam seduzir namoradas| calão| andar no engate; engatar; garanhar|2
galdéria|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          rameira"|2
galheta|é um:| calão| corvo-marinho|2
gamar|furtar, roubar| coloquial|" bifar; pifar; afanar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a"|1
ganapo|"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe"| coloquial| pirralho; pivete; catraio; puto; miúdo; garoto; guri; cacafelho|1
ganza|"cigarro feito à mão (mistura de tabaco e haxixe|erva) "| calão| porro; charro; broca|2
garanhar|&bullet; cavalheiros que tentam seduzir namoradas| calão| andar no engate; engatar; galar|2
gardanho|furtar, roubar| calão|" bifar; pifar; gamar; afanar; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve a
        "|2
garina|namorada, rapariga| coloquial| chavala; guria; garota; cruzeta; gaja; pailha; mina; miúda; rapariga|1
gáspea|rapidez, com elevada velocidade| coloquial| bolina; esgalha; gazonete; na mecha; bisga; estilha; ir nas horas do caralho|1
gato|é um:| coloquial| bichano|1
gay|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; abafa-palhinha; bamby; xibungo"|3
gazonete|rapidez, com elevada velocidade| coloquial| bolina; esgalha; gáspea; na mecha; bisga; estilha; ir nas horas do caralho|1
gigolô|&bullet; indivíduo que vive à custa de uma prostituta| calão| chulo; putanheiro; alcoviteiro; rufião|2
gola do vento|"usado quando um ma porção de líquido ou sólido se aloja indevidamente nas vias aéreas, fora do seu
          normal trajecto pelo tubo digestivo superior"| coloquial|none|1
gralha|é um:| coloquial| erro; gato|1
grana|dinheiro| coloquial|" carcanhois; bago; taco; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil
          metal; pastel; pasta; dinheiro; guito; guita; tutu; verdinha"|1
granadas|diz-se de alguém muito convencido, arrogante e que se gaba mesmo do que não faz| coloquial| gabarolas; ser um convencido; armante; fanfarrão|1
grelo|é um:| calão estupidamente carroceiro| pingalim; clitóris|5
greta|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita"|3
griso|muito frio| coloquial| briol; está um frio de rachar; está cá um barbeiro|1
grupo|mentira, partida, brincadeira| coloquial| treta; peta; patranha; reinação; bai no Batalha|1
guri|"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe"| coloquial| ganapo; pirralho; pivete; catraio; puto; miúdo; garoto; cacafelho|1
holofotes|seios de mulher, busto| coloquial| mamas; tetas; marmelos; peitos; faróis; pára-choques; seios; prateleiras; marufas|1
imbondeiro|é um:| calão|none|2
índio|diz-se de alguém exibicionista e de comportamento irracional| coloquial| palhaço|1
ir à guna|ir pendurado do lado de fora dos eléctricos| coloquial| ir à borla|1
ir ao cu|sexo anal| calão muito carroceiro| enrabar; sodomizar; sodomia|4
ir às meninas|ir às prostitutas| calão carroceiro|none|3
ir chupar uma piroca!|é um:| calão muito carroceiro|" ir para o caralho!; ir para a cona da tia Virgínia!; não enche o saco!; chupa-mos!; ir para a puta
          que o pariu!"|4
ir com o cu à rua|&bullet; despedir ou ser despedido| calão| pôr na rua; pôr no olho da rua; porta da rua é serventia da casa!|2
ir à merda|é um:| calão carroceiro| mandar à outra banda; vai à berdamerda; mandar abaixo de Braga|3
ir nas horas do caralho|rapidez, com elevada velocidade| calão| bolina; esgalha; gazonete; gáspea; na mecha; bisga; estilha|2
ir para a cona da tia Virgínia!|é um:| calão muito carroceiro|" ir para o caralho!; ir chupar uma piroca!; não enche o saco!; chupa-mos!; ir para a puta que o
          pariu!"|4
ir para a puta que o pariu!|é um:| calão muito carroceiro|" ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; não enche o saco!;
          chupa-mos!"|4
ir para o caralho!|é um:| calão carroceiro|" ir chupar uma piroca!; ir para a cona da tia Virgínia!; não enche o saco!; chupa-mos!; ir para a
          puta que o pariu!"|3
já cheira mal|&bullet; algo do qual já estou farto| coloquial|none|1
já se sabe o que a casa gasta|já conheço bem a pessoa ou situação, já estou preparado para isto| coloquial|none|1
jeco|é um:| coloquial| porco|1
jogar bilhar de bolso|masturbação masculina| calão muito carroceiro|" bater uma pívia; segóvia; tocar à punheta; esgoviar; espancar o marreco; esgalhar o ganso; esgalhar
          o pessegueiro"|4
judite|referências a um agente da polícia, ou à polícia em geral| coloquial| chui; bófia; polícia; ramona; moina|1
lambe cricas|animal que tem o costume de lamber muito as pessoas, ainda que estranhos| calão carroceiro|none|3
langonho|sémen, esperma| calão| esporra; nanha; beita; porra; meita|2
lapada|pancada na cara| calão| chapada; chapo; chapadão; bofetada; tabefe; lambada; estalo; levar uma à costa da mão!|2
largar o barro|fazer necessidades fisiológicas sólidas| coloquial|" cagar; defecar; fazer as suas necessidades; arriar o calhau; mandar um telegrama; ir enviar um fax;
          fazer cocó"|1
largar bombarda|saída de gazes intestinais| calão| peidar-se; bufar-se; traquejar|2
larilas|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
laurear a pevide|"sair de casa sem ser por razões profissionais ou por obrigação;
          dar um passeio"| coloquial| arejar a pevide; passear; cirandar; dar uma volta; dar um giro; ir tomar ar|1
lelé|&bullet; homossexual masculino passivo| calão|" arrombado; paneleiro; larilas; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; abafa-palhinha; gay; bamby; xibungo"|2
lerpar|&bullet; Esperando algo que não aconteceu ou não apareceu, esperar em vão| coloquial|" ficar a ver Braga por um canudo; ficar a ver navios; ficar a chuchar no dedo; ficar com as mãos a
          abanar; voltar de mãos vazias"|1
levar na anilha|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" dar o cu; cagar para dentro; cavalgar a jibóia; abusar da maçaneta; tirar leito do pau; queimar
          rosca"|3
levar nos cornos|sova, raspanete| coloquial|none|1
levar para o tabaco|apanhar pancada, ser sovado| calão| comer comida de urso|2
levar que contar|dar ou apanhar pancada, tareia| calão| levar uma lição; levar uma trepa|2
|afirmar um desprezo completo em relação a algo| calão muito carroceiro|none|4
lingrinhas|&bullet; homossexual masculino passivo| coloquial|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|1
loira|"usa-se para descrever mulheres muito bonitas, vaidosas, pouco inteligentes e que normalmente só
          pensam em sexo"| coloquial||1
lumes de cona|calores vaginais| calão carroceiro| ardiúmes na pachacha; febres da pita|3
macaronho|é um:| calão carroceiro| chulo; azeiteiro; azeite; proxeneta|3
mágico|piloto aviador| coloquial|none|1
mais do que três sacudidelas é punheta|reclamação jocosa e brejeira quando um homem demora muito tempo a urinar| calão carroceiro|none|3
mais longe que o caralho mais velho|diz-se de um sítio muito longe| calão carroceiro|" n3; ficar lá para os quintos dos infernos; morar em casa do Diabo mais velho; cascos de rolha;
          ficar para lá do sol posto; onde o Diabo perdeu as botas; depois do fim do mundo; para lá de Santa
          Cona do Assobio; no meio de nenhures; onde Judas perdeu as botas"|3
mamada|&bullet; sexo oral masculino| calão muito carroceiro| fazer um broche; fazer um bobó; chupa-me a pichota; fazer um bico; falofagia; felácio|4
mama mas não abuses|diz-se quando alguém que está a abusar, ou ameaça abusar| coloquial| estar a vontadinha; não te estiques; hoje não é o dia mundial do elástico!; estás-te a esticar|1
|é um:| coloquial| mandar pentear macacos; vai chatear o Camões!; vai dar a volta ao bilhar grande|1
mandar abaixo de Braga|é um:| coloquial| ir à merda; mandar à outra banda; vai à berdamerda|1
mandar pentear macacos|é um:| coloquial||1
mandar o Bernardo às compras|ter relações sexuais| calão||2
mandar postas|especular, falar sem grande fundamentação| coloquial| bitaites; bitaitar; palpites|1
mangação|estar a brincar, estar a mangar comigo| calão| brincadeira; gozo; reinação|2
mangaruça|"usar de vantagem ilegítima ou indevida para ultrapassar parceiros ou competidores (usualmente sem
          grande impacto económico ou social) "| calão| aldrabice; batota; batotice; tramóia; esperteza saloia|2
manguela|é um:| coloquial| manga; moina; moinante; preguiçoso; sorna; mandrião; calaceiro; calão|1
mano|usa-se como um modo, ligeiramente irreverente, de referir uma pessoa| coloquial| gajo; tipo; meco; caramelo; indivíduo; fulano; fabiano; bacano; melro|1
mão de aranha|"&bullet; Pessoa que tem pouca habilidade manual, designadamente na preensão dos objectos (que deixa
          frequentemente cair ao chão) "| coloquial| abécula; aselha; desajeitado|1
marar|ficar maluco momentaneamente| coloquial| flipar; passar-se; perder a cabeça; pirar de vez; estar a dar tilt|1
maravilha, maravilha é tirar da mãe e meter na filha!|referência brejeira de que mãe como a filha são sexualmente apelativas| calão carroceiro|none|3
mariazinha|level:| calão|none|2
maricas|&bullet; homossexual masculino passivo| calão|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|2
marmelos|seios de mulher, busto| coloquial| mamas; tetas; holofotes; peitos; faróis; pára-choques; seios; prateleiras; marufas|1
marrã|mulher jovem, ainda não totalmente mulher| coloquial| pita; miúda|1
marrão|que estuda muito| calão|none|2
marsápio|órgão sexual masculino, pénis, pênis| calão||2
marsapo|órgão sexual masculino, pénis, pênis| calão||2
marufas|seios de mulher, busto| coloquial| mamas; tetas; marmelos; holofotes; peitos; faróis; pára-choques; seios; prateleiras|1
matar o bicho|&bullet; comer| coloquial| matar a fome|1
mátumbina|é um:| calão| escarumba|2
meco|usa-se como um modo, ligeiramente irreverente, de referir uma pessoa| coloquial| gajo; tipo; caramelo; indivíduo; fulano; fabiano; bacano; mano; melro|1
meita|sémen, esperma| calão| esporra; langonho; nanha; beita; porra|2
melga|é um:| coloquial| chato; aborrecido; incomodativo; gosma; fega; cromo; postal; autocolante; adesivo; besunta|1
melgar|| coloquial| chatear; aborrecer; incomodar|1
menina rocha|"usa-se para descrever mulheres muito bonitas, vaidosas, pouco inteligentes e que normalmente só
          pensam em sexo"| coloquial||1
merda|excrementos, fezes consistentes e enformadas| calão carroceiro| berdamerda; cagalhão; caca; fezes; caganita; poio; cirolho; bunicos; trampa; bosta|3
merdices|&bullet; factos ou coisas de pouco ou nenhum valor| calão|" cunices; coneirices; coisas de nada; mariquices; insignificâncias; miudências; caganifância;
          preocupação injustificada"|2
meretriz|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira"|2
meter a viola no saco|&bullet; calar-se derrotadamente| coloquial| meter a língua no saco; meter o rabo entre as pernas; embatucar; ficar sem fala; perder o pio|1
meu dito, meu feito|Actuar imediatamente de acordo com o que foi anunciado ou proposto| coloquial| se bem o disse melhor o fez; ser tiro e queda|1
mexilhão|órgão sexual feminino| calão muito carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita"|4
miasco|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
mijão|pessoa com muita sorte| calão| piçudo; sortudo|2
mijar|urinar| calão carroceiro||3
mijar nos finados|trair, desrespeitar os antepassados| calão|none|2
mijo|urina| calão| xixi; urina|2
minete|acto sexual oro-genital, lamber a vagina| calão estupidamente carroceiro| trombada; cunilingus; lamber-te; passar a casa a pano; felácio; broche feminino|5
mineteiro|pessoa que faz o cunnilingus| calão muito carroceiro| trombeiro|4
minorca|pessoa pequena| coloquial| caga-tacos; rodas-baixas; roda 24; taco de pia|1
miudências|&bullet; factos ou coisas de pouco ou nenhum valor| coloquial|" cunices; merdices; coneirices; coisas de nada; mariquices; insignificâncias; caganifância;
          preocupação injustificada"|1
mó|usado como vocativo em exclamações ou interrogações| calão| pá; ó meu; moço|2
moina|referências a um agente da polícia, ou à polícia em geral| coloquial| chui; bófia; judite; polícia; ramona|1
moita, carrasco|não contar tudo, guardar segredos, esconder, fazer mistério| coloquial| fechar-se em copas; esconder o jogo; guardar segredo; fazer caixinha|1
monção|ex.:| calão|none|2
monga|é um:| coloquial|none|1
monstrão|homem muito musculado| coloquial| saradão; Rambo|1
monta-te num porco|é um:| calão| vai-te foder; vai ver se estou lá fora!|2
montês|rural sofisticado, interessante| coloquial|none|1
moufar|comer| coloquial| morfar; dar ao dente|1
mouro|term depreciativo para designar os lisboetas e habitantes do sul| coloquial| sarraceno|1
mulher boa|mulher ou rapariga muito jeitosa| calão| toura; tuxa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho|2
naifa|| coloquial| aço; fava; navalha; facalhão; ponta e mola|1
na mecha|rapidez, com elevada velocidade| coloquial| bolina; esgalha; gazonete; gáspea; bisga; estilha; ir nas horas do caralho|1
nanha|sémen, esperma| calão| esporra; langonho; beita; porra; meita|2
não bater bem da bola|ser ou parecer maluco, apresentar comportamentos completamente irracionais| coloquial|" ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; ter
          a rosca moída; bater mal da tola; não ser bom da cabeça"|1
não dar pica|emoção, vontade| calão| tesão|2
não enche o saco!|é um:| calão|" ir para o caralho!; ir chupar uma piroca!; ir para a cona da tia Virgínia!; chupa-mos!; ir para a
          puta que o pariu!"|2
não fazer a ponta de um corno|não fazer nada de útil| coloquial| andar a coçar os colhões|1
não fazer nenhum|ser muito perguiçoso| coloquial||1
não fazer nestum|não fazer nada| coloquial||1
não fazer a ponta de um corno|não fazer nada| coloquial||1
não fazer um chavelho|não fazer nada| coloquial||1
não fode nem sai de cima|ficar irresoluto, não andar em frente| calão carroceiro| não ata nem desata; sem atar nem desatar|3
não ser um picuinhas|alguém muito implicativo e que olhe demasiado aos detalhes| coloquial| caquenha; coca-bichinhos|1
não ter com que comprar os melões|&bullet; sem dinheiro, a mendigar| coloquial|" andar ó tio ó tio; sem cheta; uma mão atrás e outra à frente; andar nas lonas; estar à dependura;
          sem um tusto; estar na merda; estar liso; estar teso; teso como um carapau; pedinchar; andar a pedir
          esmola; andar à moina; voar baixinho"|1
|não fazer nada| coloquial| não fazer a ponta de um corno; não fazer um chavelho; não fazer nestum; não fazer nenhum|1
|| calão|none|2
|| calão carroceiro||3
nascer com o cu virado para a Lua|"pessoa a quem tudo corre bem, com imensa sorte (amor, jogo, emprego) sem precisar de se esforçar
        "| calão| sortudo|2
nem que te fodas|expressão de negação veemente.| calão carroceiro|" nem que a vaca tussa; nem pensar; nem que me matem; nem à quinta facada; nem que chovam picaretas
        "|3
ninho|órgão sexual feminino| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita"|3
|| calão||2
oferecida|é um:| calão|" puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; bicha de angola; galdéria; rameira
        "|2
"oh minha puta, tu precisavas que te enfiassem uma pescada pelo parreco acima que te mordesse
      os ovários e te espetasse as escamas nas bordas da cona!"|é um:| calão estupidamente carroceiro|none|5
olho do cu|ânus| calão carroceiro|none|3
ó meu|usado como vocativo em exclamações ou interrogações| coloquial| pá; mó; moço|1
o meu velho|expressão mais ou menos carinhosa de referir o pai ou mãe| coloquial|none|1
|| calão|none|2
ostra|órgão sexual feminino| calão muito carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita"|4
os três pratos|sexo envolvendo boca, cu e cona| calão muito carroceiro|none|4
pá|usado como vocativo em exclamações ou interrogações| coloquial| ó meu; mó; moço|1
pachacha|órgão sexual feminino| calão muito carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; patareca; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita"|4
pacote|"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética"| coloquial| bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; regueifa; cagueiro; zuate|1
paitrocínio|patrocínio dos pais| coloquial| patrocínio da CP|1
palhaço|é um:| coloquial| índio|1
panão|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
panasca|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
pancada de criar bicho|&bullet; espancar, lutar| coloquial|" passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à porra e à maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; porrada
          velha"|1
paneleiro|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|3
