,term,description,level,synonym,scale
24,aborrecido,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo",none, chato; incomodativo; melga; gosma; fega; cromo; postal; autocolante; adesivo; besunta,0
25,aborto,alguma coisa ou alguém que é muito feio ou mal feito,none,none,0
26,abotoar o paletó,"morreu, faleceu",none," bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; quinar; dar o peido mestre;
          dormir o sono eterno; descanso eterno; dar o último suspiro; dar o couro às vacas; entregar a alma a
          Deus; fazer viagem sem chapéu; finar-se; anafragar; estertorar; marchar; virar presunto; partir
          deste mundo",0
27,,"guardar para si, fazer desaparecer, ficar com...",none,,0
28,abraçar o jacaré,"&bullet; situação sem saída, incómoda, desagradável",none," estar frito; estar tramado; estar ferrado; estar feito ao bife; estar metido numa grande
          embrulhada; estar metido num sarilho; estar metido numa alhada",0
29,abrenúncio!,interjeição de desagrado e esconjuro,none," o Diabo seja surdo, cego e mudo; vade retro Satanás; credo, cruzes, canhoto!; lagarto! lagarto!
          lagarto!",0
30,"A brincar, a brincar é que o macaco foi à mãe",usa-se quando a conversa não parece séria mas na verdade é,none," ri-te, ri-te que logo choras",0
31,abrir o jogo,"denunciar algo, dizer a verdade, revelar os detalhes, clarificar as intenções",none, pôr as cartas na mesa; descobrir o jogo,0
32,,"elucidar, alertar",none, isto é um abr'ólhos,0
33,à bruta,"excelente, algo muito bom, muito grande",none, de arrebimba o malho; com toda a força; mais melhor bom; ser do caralhão,0
34,abstruso,"estranho, incoerente, obscuro", arcaico,none,0
35,abusar da maçaneta,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cagar para dentro; cavalgar a jibóia; levar na anilha; tirar leito do pau; queimar rosca
        ",3
36,abutre,é um:,none,none,0
37,acabado de estrear,coisa nova,none, novo em folha,0
38,acabar em pizza,"não se realizar, ao contrário do esperado",none, ficar em águas de bacalhau; dar em nada; não chegar a bom termo,0
39,acabou-se a papa doce,acabou-se uma regalia ou previlégio,none,none,0
40,a cair aos pedaços,"Pessoa que evidencia ao olhar doença grave ou grande cansaço, muitas vezes ligado a excesso de
          trabalho ou de farra",none, cair da boca aos cães; a cair de podre,0
41,a cair de podre,"Pessoa que evidencia ao olhar doença grave ou grande cansaço, muitas vezes ligado a excesso de
          trabalho ou de farra",none, cair da boca aos cães; a cair aos pedaços,0
42,acalmar os ánimos,"apaziguar, acalmar",none, deitar água benta; deitar água na fervura,0
43,acarajes,local:,none,none,0
44,acertar em cheio,"adivinhar, acertar com muita precisão",none, dar em cheio; acertar na mosca; acertar na lata; acertar na muche; acertar no olho do mosquito,0
45,acertar na lata,"adivinhar, acertar com muita precisão",none," dar em cheio; acertar em cheio; acertar na mosca; acertar na muche; acertar no olho do mosquito
        ",0
46,acertar na mosca,"adivinhar, acertar com muita precisão",none, dar em cheio; acertar em cheio; acertar na lata; acertar na muche; acertar no olho do mosquito,0
47,acertar na muche,"adivinhar, acertar com muita precisão",none, dar em cheio; acertar em cheio; acertar na mosca; acertar na lata; acertar no olho do mosquito,0
48,acertar no olho do mosquito,"adivinhar, acertar com muita precisão",none, dar em cheio; acertar em cheio; acertar na mosca; acertar na lata; acertar na muche,0
49,achandrar-se,é um:,none, baixar a bola; fica caladinho; não pies,0
50,achavascado,é um:,none," bertoldo; burgesso; ordinário; alarve; boçal; analfabruto; analfabesta; grosseiro; brutamontes;
          rude; matarruano; ser um casca-grossa",0
51,aço,,none, naifa; fava; navalha; facalhão; ponta e mola,0
52,a coisa está a tornar-se feia,&bullet; perigo ou insucesso iminente,none, a coisa está feia; estou a ver a coisa muito negra,0
53,a coisa está feia,&bullet; perigo ou insucesso iminente,none, a coisa está a tornar-se feia; estou a ver a coisa muito negra,0
54,acólito,diz-se de alguém que obedece cegamente a outrem,none, ser um pau mandado; fantoche,0
55,acordar com os pés de fora,usa-se quando alguém apresenta um comportamente mal disposto não habitual,none, não sei que bicho lhe mordeu,0
56,"Acreditas em amor à primeira vista, ou tenho que passar por aqui mais uma vez?",é um:,none,none,0
57,acunhar,"fugir, afastar-se (de alguém ou de situação problemáticas) ",none," dar ares de Vila Diogo; dar à sola; dar de frosques; dar de trancas; cavar; pirar-se; fugir; vazar;
          pôr-se no piro; pôr-se na alheta; pôr-se nas andadeiras; pôr-se ao fresco; pôr-se a mexer; pôr-se a
          bulir; pôr-se a milhas; pôr-se a andar; cair fora; mandar-se; mostrar as ferraduras; ralar peito;
          picar a mula; escafeder-se; pisar fundo",0
58,acusar o toque,"alguém deixar transparecer que ficou ofendido, chateado, descontente com um ataque de que foi vítima
        ",none,none,0
59,a dar com um pau,em grande quantidade,none,,0
60,adeceibar,bater com muita violência em alguém,none, estouro; bato; desfaço; estrafego-te todo!,0
61,adesivo,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", coloquial, chato; aborrecido; incomodativo; melga; gosma; fega; cromo; postal; autocolante; besunta,1
62,adeus,é um:,none,none,0
63,adiantar um grosso,não compensa,none, não valer a pena,0
64,,, calão,,2
65,,, calão,,2
66,adoçar a pílula,é um:,none, dourar a pílula; aligeirar; com paninhos quentes; sem ferir susceptibilidades; eufemismo,0
67,advogado,é um:,none,none,0
68,aéreo,"estar completamente distraído; Não estar atento por introspecção, aborrecimento ou incapacidade
          temporária
          de focalização na realidade do momento",none," estar na lua; andar nas nuvens; aluado; meditabundo; ensimesmado; desligado; ausente; em parte
          incerta; dormir na forma; estar noutro comprimento de onda",0
69,à espreita,"atento, estar a espreitar (ligado à ideia de voyeurismo ou secretismos) ",none, andar à coca; às ocultas,0
70,a vida são dois dias,a vida é curta,none,none,0
71,a vida são dois dias mas o Carnaval são três!,a vida é curta mas tem que ser aproveitada e gozada,none,none,0
72,à falsa fé,"traiçoeiramente, de modo desleal",none,none,0
73,afanar,"furtar, roubar", coloquial," bifar; pifar; gamar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a",1
74,à fartazana,"à larga, em grandes quantidades",none, comer à fartar vilanagem; comer à tripa-forra,0
75,a ferro e fogo,diz-se de algo difícil que impreterivelmente tem que ser realizado,none, à viva força; doa a quem doer; custe o que custar; a qualquer preço,0
76,afiambrar,vestir-se bem,none,,0
77,,ter relações sexuais, calão," fazer amor; pinar; quilhar; foder; pilar; copular; dar uma ponteirada; dar-lhe aço; estar no
          refustedo; fornicar; transar; afinfar-lhe; afogar o ganso; pinocar; gibra; mandar o Bernardo às
          compras",2
78,,"guardar para si, fazer desaparecer, ficar com...",none,,0
79,afinar,"ficar (facilmente) arreliado com piadas, observações ou críticas",none, chatear-se; levar a mal; ser peludo; ser grosso para palito,0
80,afinfar-lhe,ter relações sexuais, calão,,2
81,aflição,,none, aperto de alma,0
82,afogar o ganso,ter relações sexuais, calão,,2
83,à ganância,"impecável, perfeito",none, à maneira,0
84,agarrado,&bullet; pessoa muito agarrada ao dinheiro,none," avarento; unhas de fome; sovina; forreta; futre; somítico; pelintra; pão duro; pirangueiro; mão de
          vaca; murrinha",0
85,agora é que a porca torce o rabo,é que aparecem as dificuldades,none,none,0
86,à grande e à francesa,anedota:,none,none,0
87,aguentar os cavalos,"esperar com calma, confiando que tudo se resolverá",none, dar tempo ao tempo,0
88,aguentar-se nas canelas,&bullet; estar completamente exausto,none," aguentar-se nas canetas; não se ter em pé; não se ter nas canetas; não se ter nas pernas; mais
          morto que vivo; não poder com uma gata pelo rabo",0
89,aguentar-se nas canetas,&bullet; estar completamente exausto,none," aguentar-se nas canelas; não se ter em pé; não se ter nas canetas; não se ter nas pernas; mais
          morto que vivo; não poder com uma gata pelo rabo",0
90,ainda a noite é uma criança,algo que está apenas a começar (e novos e importantes acontecimentos vêm a caminho) ,none, ainda a procissão vai no adro,0
91,ainda a procissão vai no adro,algo que está apenas a começar (e novos e importantes acontecimentos vêm a caminho) ,none, ainda a noite é uma criança,0
92,ainda lhe dá uma coisinha má,"ainda lhe dá um ataque, um mal repentino (vai ficar mesmo incomodada) ",none,none,0
93,ainda não caiu a ficha,&bullet; não entender nada,none, não perceber peva; não perceber um boi de; ser chinês; não entender patavina,0
94,ajustar contas com,"castigar, normalmente ligado a vingança",none, fazer um acerto de contas; ter umas contas a ajustar,0
95,alapar,sentar-se à mesa (para comer) ,none, abancar; sentar-se,0
96,ala que se faz tarde,"expressão a anunciar a despedida, a indicar que se vai embora",none, Alá que se faz tarde,0
97,Alá que se faz tarde,"expressão a anunciar a despedida, a indicar que se vai embora",none, ala que se faz tarde,0
98,alarve,é um:,none," bertoldo; burgesso; ordinário; boçal; analfabruto; analfabesta; grosseiro; brutamontes;
          achavascado; rude; matarruano; ser um casca-grossa",0
99,alcagoitas,amendoins,none, minuins,0
100,alcofa,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética",none, bunda; cu; peida; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate,0
101,alcoviteiro,"actividade de se meter na vida dos outros, espiar, comentar, armar intrigas", arcaico," cuscar; bisbilhotar; cheiretar; fazer fofocas; intriguista; rasgar seda; tagarelar; dar ao badalo;
          bilhardar",0
102,aldrabão,pessoa que engana os outros,none, vigarista; vígaro; trapaceiro,0
103,aldrabice,"usar de vantagem ilegítima ou indevida para ultrapassar parceiros ou competidores (usualmente sem
          grande impacto económico ou social) ",none, mangaruça; batota; batotice; tramóia; esperteza saloia,0
104,alfacinha,habitante de Lisboa,none,none,0
105,algazarra,"&bullet; Barulho, barulheira",none," chavascal; basqueiral; basqueiro; chiqueiro; engranzel; cagaçal; bagunceira; bagunça; chinfrim;
          chinfrineira; banzé; papagaiada; granel; peixeirada; balbúrdia; gritaria; quizumba; sem trelho nem
          trebelho",0
106,alhada,problema ou situação complicada,none, complicação; sarilho; embrulhada; berbicacho; grande chumbadela,0
107,aligeirar,"de modo conciliador e delicado. Dizer algo desagradável ou difícil de aceitar de forma provisória ou
          minimizando os aspectos negativos inerentes ao facto a reportar ou comunicar",none, dourar a pílula; adoçar a pílula; com paninhos quentes; sem ferir susceptibilidades; eufemismo,0
108,alimária,é um:,none," cretino; imbecil; idiota; burro; badameco; besta; camelo; calhau; cavalgadura; abécula; asno;
          estúpido; borrego; abantesma; estafermo; energúmeno; sendeiro; néscio",0
109,alma danada,"pessoa instigadora do mal, pessoa perversa",none,none,0
110,alma do outro mundo,,none, alma penada; fantasma,0
111,alma penada,,none, alma do outro mundo; fantasma,0
112,almeidas,varredores do lixo,none,none,0
113,almofadinha,"pessoa que se tenta vestir-se de modo exageradamente elgante, mas que descamba em ridículo e
          inapropriado",none, betinho; peralvilho; janota,0
114,alternadeira,"mulher que frequenta muitos bares nocturnos com a intenção de conseguir que os cliente bebam,
          consumam muito, normalmente uma prostituta",none,none,0
115,alto e para o baile!,é um:,none,none,0
116,aluado,"estar completamente distraído; Não estar atento por introspecção, aborrecimento ou incapacidade
          temporária
          de focalização na realidade do momento",none," estar na lua; andar nas nuvens; meditabundo; ensimesmado; aéreo; desligado; ausente; em parte
          incerta; dormir na forma; estar noutro comprimento de onda",0
117,amalucado,"ser doido, sem juízo",none, Sócio da fnac; destravado; desmiolado; abiscoidato; ser marado dos cornos,0
118,à maneira,"impecável, perfeito",none, à ganância,0
119,amarelar,&bullet; ser medroso,none, perder a cor; pelar-se de medo; tem medo que se péla; morrer de medo; borrar-se de medo,0
120,a maré não está para peixe,usa-se quando há ausência de raparigas ou estas não aparentem estar recetivas a convite,none,none,0
121,amaricado,é um:,none, borboleta; abichanado,0
122,amarrar pano,"casar, ir viver junto com alguém",none, juntar os trapinhos; dar o nó; dar o doce; dar o sim; viver de casa e pucarinho,0
123,amena cavaqueira,,none, franca cavaqueira; conversa fiada,0
124,a meu ver,&bullet; em minha opinião,none, pela parte que me toca; da minha banda,0
125,amigos do alheio,pessoa que rouba, coloquial," ladrão; gatuno; ratoneiro; larápio; assaltante; salteador; flibusteiro; fajardo; carteirista;
          cafunge",1
126,a minha fatia,"o resultado de uma divisão (bens, lucros, tarefas a realizar) ",none, o que me toca; a minha parte; o meu quinhão,0
127,a minha parte,"o resultado de uma divisão (bens, lucros, tarefas a realizar) ",none, o que me toca; o meu quinhão; a minha fatia,0
128,amuar,"ficar sentido com o que lhe foi dito, sugerido ou insinuado e reagir com expressão facial ou
          corporal a tal facto",none, armar o burro; fazer beicinho; ficar emburrado,0
129,anafragar,"morreu, faleceu", arcaico," bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; quinar; dar o peido mestre;
          dormir o sono eterno; descanso eterno; dar o último suspiro; dar o couro às vacas; abotoar o paletó;
          entregar a alma a Deus; fazer viagem sem chapéu; finar-se; estertorar; marchar; virar presunto;
          partir deste mundo",0
130,analfabesta,é um:,none," bertoldo; burgesso; ordinário; alarve; boçal; analfabruto; grosseiro; brutamontes; achavascado;
          rude; matarruano; ser um casca-grossa",0
131,analfabruto,é um:,none," bertoldo; burgesso; ordinário; alarve; boçal; analfabesta; grosseiro; brutamontes; achavascado;
          rude; matarruano; ser um casca-grossa",0
132,anarquia,"situação confusa, anárquica ou com intento enganador",none, caldeirada; confusão; aldrabice,0
133,anda lá perto,&bullet; está quase a ser,none, para lá caminha,0
134,andar a arrastar os pés,"estar muito velho, avariado, inseguro, a funcionar mal, cansado de esforço ou doença",none, estar a cair da tripeça; estar a cair aos bocados; andar a balões de soro,0
135,andar a balões de soro,"estar muito velho, avariado, inseguro, a funcionar mal, cansado de esforço ou doença",none, estar a cair da tripeça; estar a cair aos bocados; andar a arrastar os pés,0
136,andar à cata,procurar atentamente,none, andar ao lambisco,0
137,andar a coçar os colhões,não fazer nada de útil, calão, não fazer a ponta de um corno,2
138,andar a esfolar cabritos,mulher que se prostitui ostensivamente e explora,none,none,0
139,andar à futrica,"andar desmazelado, com pouco cuidado com a aparência",none,none,0
140,andar à moina,"&bullet; sem dinheiro, a mendigar",none," andar ó tio ó tio; sem cheta; não ter com que comprar os melões; uma mão atrás e outra à frente;
          andar nas lonas; estar à dependura; sem um tusto; estar na merda; estar liso; estar teso; teso como
          um carapau; pedinchar; andar a pedir esmola; voar baixinho",0
141,andar a monte,&bullet; andar fugido à justiça,none,none,0
142,andar à nora,adivinha:,none, andar aos papéis; andar desnorteado,0
143,andar a nove,é um:,none, ir para o comboio; ir tirar o pai da forca,0
144,andar ao lambisco,procurar atentamente,none, andar à cata,0
145,andar aos caídos,"&bullet; estar deprimido, estar num mau período",none," pela hora da morte; nas ruas da amargura; estar na mó de baixo; estar em baixo; estar numa pior;
          estar na pior",0
146,andar aos papéis,é um:,none, andar à nora; andar desnorteado,0
147,aos trancos e barrancos,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; andar numa correria; não chegar
          para as encomendas; não dar vazão; não dar saída; não dar conta do recado; não saber para onde se
          voltar; andar em pancas",0
148,andar a pedir esmola,"&bullet; sem dinheiro, a mendigar",none," andar ó tio ó tio; sem cheta; não ter com que comprar os melões; uma mão atrás e outra à frente;
          andar nas lonas; estar à dependura; sem um tusto; estar na merda; estar liso; estar teso; teso como
          um carapau; pedinchar; andar à moina; voar baixinho",0
149,andar à porra e à maça,"&bullet; espancar, lutar", coloquial," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho; porrada
          velha",1
150,andar às apalpadelas,procurar sem saber muito bem o quê ou como,none,none,0
151,andar às turras,&bullet; lutar, coloquial, andar à turra e à massa,1
152,andar à turra e à massa,&bullet; lutar, coloquial, andar às turras,1
153,andar com a casa às costas,andar sempre muito carregado,none,none,0
154,andar com a lua,,none,none,0
155,andar de costas ao alto,"não trabalhar nada, vadiar",none,none,0
156,andar de cu tremido,andar de carro,none,none,0
157,andar de Herodes para Pilatos,&bullet; estar a correr cada vez pior,none, de Anás para Caifás; ir de mal a pior; de caixão à cova; pular da panela para o fogo,0
158,andar desnorteado,"não perceber nada do que se disse, estar desorientado",none, andar aos papéis; andar à nora,0
159,andar em bolandas,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; aos trancos e barrancos; andar numa correria; não
          chegar para as encomendas; não dar vazão; não dar saída; não dar conta do recado; não saber para
          onde se voltar; andar em pancas",0
160,andar em pancas,&bullet; ter muito (demasiado) que fazer,none," numa roda-viva; num corropio; andar numa fona; andar em bolandas; aos trancos e barrancos; andar
          numa correria; não chegar para as encomendas; não dar vazão; não dar saída; não dar conta do recado;
          não saber para onde se voltar",0
161,andar à batatada,"&bullet; espancar, lutar",none," passar a vias de facto; andar à traulitada; andar à pancada; andar à porrada; andar à porra e à
          maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho;
          porrada velha",0
162,andar a coçar o cu pelas esquinas,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem", calão," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a polir
          esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio; na boa vai ela;
          andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",2
163,andar a fazer cera,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar o cu pelas esquinas;
          andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio;
          na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
164,andar a fazer versos à Lua,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar
          a preguiçar; ócio; na boa vai ela; andar na vadiagem; andar na trolaró",0
165,andar a flaino,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a preguiçar;
          ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
166,andar à lapada,"&bullet; espancar, lutar",none," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à porra e à maça; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho;
          porrada velha",0
167,andar a mandriar,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a vadiar; andar a flaino; andar a preguiçar;
          ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
168,andar à pancada,"&bullet; espancar, lutar",none," passar a vias de facto; andar à batatada; andar à traulitada; andar à porrada; andar à porra e à
          maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho;
          porrada velha",0
169,andar a polir esquinas,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio; na
          boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
170,andar à porrada,"&bullet; espancar, lutar", coloquial," passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porra e à
          maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho;
          porrada velha",1
171,andar a preguiçar,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; ócio;
          na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
172,andar à traulitada,"&bullet; espancar, lutar",none," passar a vias de facto; andar à batatada; andar à pancada; andar à porrada; andar à porra e à maça;
          andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho; porrada
          velha",0
173,andar a vadiar,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a flaino; andar a preguiçar;
          ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
174,andar à boa-vida,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar no laréu; andar a coçar o cu pelas
          esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a
          preguiçar; ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua
        ",0
175,andar à mama,level:, calão,none,2
176,andar ao corrente,estar bem informado de determinada situação,none,,0
177,andar a par,estar bem informado de determinada situação,none,,0
178,andar a sonhar com ladrões,&bullet; estar a imaginar situações piores que a realidade,none, estar a fazer filmes,0
179,andar com a mosca,estar mal disposto e zangado,none,,0
180,andar nas lonas,"estar desgastado, no limite das suas forças",none," andar ó tio ó tio; sem cheta; não ter com que comprar os melões; uma mão atrás e outra à frente;
          estar à dependura; sem um tusto; estar na merda; estar liso; estar teso; teso como um carapau;
          pedinchar; andar a pedir esmola; andar à moina; voar baixinho",0
181,andar à coca,"atento, estar a espreitar (ligado à ideia de voyeurismo ou secretismos) ",none, à espreita; às ocultas,0
182,andar à rasca,ver-se em dificuldades para realizar algo,none, estar à brocha,0
183,na boa vai ela,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar
          a preguiçar; ócio; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua",0
184,andar na libertinagem,"vida boémia, festejos desregrados",none, andar na má vida; vida airada; estroinice; vagabundagem,0
185,andar na má vida,"vida boémia, festejos desregrados",none, andar na libertinagem; vida airada; estroinice; vagabundagem,0
186,andar na trolaró,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar
          a preguiçar; ócio; na boa vai ela; andar na vadiagem; andar a fazer versos à Lua",0
187,andar na vadiagem,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem",none," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a coçar
          o cu pelas esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar
          a preguiçar; ócio; na boa vai ela; andar na trolaró; andar a fazer versos à Lua",0
188,andar no engate,&bullet; cavalheiros que tentam seduzir namoradas, coloquial, engatar; garanhar; galar,1
189,no gamanço,andar a roubar,none,none,0
190,andar no laréu,"sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem", coloquial," andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar a coçar o cu pelas
          esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a
          preguiçar; ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua
        ",1
191,andar a butes,_ a pé,none, ir a calcantes; andar à pata,0
192,andar à pata,_ a pé,none, andar a butes; ir a calcantes,0
193,andar na boa-vai-ela,"festa, normalmente envolvendo beber uns copos",none," borga; paródia; pândega; trolaró; pagode; tainada; patuscada; comezaina; festarola; cópios; naite
        ",0
194,andar nas bocas do mundo,tema muito falado e comentado por toda a gente,none, fazer manchete; estar na berlinda; ser assunto quente,0
195,andar nas nuvens,"estar completamente distraído; Não estar atento por introspecção, aborrecimento ou incapacidade
          temporária
          de focalização na realidade do momento",none," estar na lua; aluado; meditabundo; ensimesmado; aéreo; desligado; ausente; em parte incerta; dormir
          na forma; estar noutro comprimento de onda",0
