,term,description,level,synonym,scale
4509,pastel,"pessoa muito lenta que se não mexe e sem iniciativa, pessoa falsa", coloquial, morcão; sonso; lesma; cromo; papa-açorda,1
4513,patareca,órgão sexual feminino, calão," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; passarinha; perseguida; boceta; conaça; crica;
          aranha; fanesga; boca do corpo; xana; snaita",2
4517,patranha,"mentira, partida, brincadeira", coloquial, grupo; treta; peta; reinação; bai no Batalha,1
4521,pau,"órgão sexual masculino, pénis, pênis", calão,,2
4526,pdi,é um:, calão,none,2
4528,pechenga,é um:, calão carroceiro," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria;
          rameira",3
4529,pechincha,"quase gratuitamente, preço muito baixo, económico, barato", coloquial," ao desbarato; a preço irrisório; ao preço da chuva; pelo preço da uva mijona; por tuta-e-meia;
          cinco reis de mel coado",1
4541,pedrado,diz-se de alguém que está sob a influência da droga, coloquial, drogado; estar com a moca,1
4547,pegajoso,&bullet; alguma coisa que se cola a tudo, coloquial, viscoso; peganhento; gorduroso; sebento; emplastro,1
4548,peganhento,&bullet; alguma coisa que se cola a tudo, coloquial, viscoso; pegajoso; gorduroso; sebento; emplastro,1
4554,peida,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", calão carroceiro, bunda; alcofa; cu; rabo; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate,3
4555,peidar-se,saída de gazes intestinais, calão carroceiro, largar bombarda; bufar-se; traquejar,3
4556,peido,saída de gazes intestinais, calão carroceiro, flatulência; traque; bufa; farpa; pum; bombarda,3
4557,peidociclo,motociclo velho com escape irritantemente ruidoso e com mau cheiro, calão,none,2
4558,peidola,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", calão carroceiro, bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; pacote; regueifa; cagueiro; zuate,3
4585,penca,é um:, coloquial, tronchuda,1
4589,penetra,"aquele que se faz abusivamente convidado em festas ou comemorações. Aquele que entra sem convite
        ", calão, intruso; passageiro clandestino,2
4596,pentelho,pêlos púbicos, calão muito carroceiro, pintelho; arbusto,4
4634,perseguida,órgão sexual feminino, coloquial," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",1
4636,pertencer à ordem de S. Cornélio,é um:, calão, cornudo; corno; pôr os cornos,2
4657,piça,"órgão sexual masculino, pénis, pênis", calão carroceiro,,3
4658,piçada,"repreensão, reprimenda forte", calão carroceiro," ouvir um raspanete; levar um raspanço; ouvir um ralhete; levar uma descompustura; levar uma
          desanda; pregar um sermão",3
4659,piçalho,"órgão sexual masculino, pénis, pênis", calão carroceiro,,3
4664,picha,"órgão sexual masculino, pénis, pênis", calão carroceiro,,3
4665,pichota,"órgão sexual masculino, pénis, pênis", calão,,2
4666,piço,sorte, calão carroceiro, mijo; paio; reco; chouriço,3
4667,picolho,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",2
4668,piçudo,pessoa com muita sorte, calão, sortudo; mijão,2
4669,picuinha,"crítica constante, remoque", coloquial, pirraça; má vontade; perseguição; implicância,1
4671,pifar,"furtar, roubar", coloquial," bifar; gamar; afanar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a",1
4672,pila,"órgão sexual masculino, pénis, pênis", coloquial,,1
4674,pildra,cadeia, coloquial, choça; xilindró; prisão; prisa; calabouço; masmorras; cárcere; xadrez,1
4680,pimenta no cu dos outros é refresco,ser demasiado indiferente ao sofrimento dos outros, calão carroceiro,none,3
4682,pinar,ter relações sexuais, coloquial,,1
4683,pincel,"órgão sexual masculino, pénis, pênis", calão,,2
4686,pingalim,parte dos órgãos sexuais femininos, calão muito carroceiro, grelo; clitóris,4
4689,pinocada,copular, calão," foda; queca; coito; tricofáix; dar uma rapidinha; dar uma trancada; dar uma caimbrada; berlaitada;
          cambalhota",2
4690,pinocar,ter relações sexuais, calão,,2
4692,pintar a macaca,&bullet; endiabrado, coloquial," levado da breca; levado da casqueira; pintar o caneco; pintar o Diabo a quatro; pintar a manta;
          pintar o sete",1
4693,pintar a manta,&bullet; endiabrado, coloquial," levado da breca; levado da casqueira; pintar o caneco; pintar a macaca; pintar o Diabo a quatro;
          pintar o sete",1
4694,pintar a sanita,diarreia, coloquial, estar com a caganeira; desarranjo dos intestinos; furrica; furriqueira; desventria,1
4696,pintar o Diabo a quatro,&bullet; endiabrado, coloquial," levado da breca; levado da casqueira; pintar o caneco; pintar a macaca; pintar a manta; pintar o
          sete",1
4697,pintar o caneco,&bullet; endiabrado, coloquial," levado da breca; levado da casqueira; pintar a macaca; pintar o Diabo a quatro; pintar a manta;
          pintar o sete",1
4698,pintar o sete,&bullet; endiabrado, coloquial," levado da breca; levado da casqueira; pintar o caneco; pintar a macaca; pintar o Diabo a quatro;
          pintar a manta",1
4700,pintelho,pêlos púbicos, calão muito carroceiro, pentelho; arbusto,4
4701,pinto,"órgão sexual masculino, pénis, pênis", coloquial,,1
4702,pinto calçudo,diz-se de alguém deselegante e desajeito, coloquial,none,1
4708,pipi,é um:, coloquial," cona; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",1
4713,piriguete,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        ",2
4715,pirilau,"órgão sexual masculino, pénis, pênis", calão,,2
4716,piripalho,ex.:, calão,none,2
4717,piroca,"órgão sexual masculino, pénis, pênis", calão,,2
4718,pirola,"órgão sexual masculino, pénis, pênis", calão,,2
4720,pirona,órgão sexual feminino, calão carroceiro," cona; pipi; pito; pitaço; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",3
4722,pirralho,"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe", coloquial, ganapo; pivete; catraio; puto; miúdo; garoto; guri; cacafelho,1
4727,piscareto,pessoa que tem o hábito ou o tique de piscar frequentemente ou excessivamente os olhos, coloquial,none,1
4730,pita,"mulher jovem, ainda não totalmente mulher", coloquial, miúda; marrã,1
4731,pitaço,órgão sexual feminino, calão," cona; pipi; pito; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",2
4732,pitéu,mulher ou rapariga muito jeitosa, coloquial, toura; tuxa; mulher boa; bomba; boazona; és toda grossa; conaça; fema; borracho,1
4733,pito,órgão sexual feminino, calão muito carroceiro," cona; pipi; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",4
4735,pivete,"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe", coloquial, ganapo; pirralho; catraio; puto; miúdo; garoto; guri; cacafelho,1
4747,poça!,interjeição de desagrado ou de espanto, calão," foda-se!; caralho!; carago!; caraças; caramba; porra; droga!; chiça; arre porra!; puta que pariu!
        ",2
4766,pomada,vinho, coloquial, bebida; precioso néctar; tintol,1
4768,pombinha,órgão sexual feminino, coloquial," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",1
4778,ponteiro,"órgão sexual masculino, pénis, pênis", coloquial,,1
4867,pôr os palitos a,"trair, ser (sexualmente) infiel a alguém", calão, pôr os palitos; pular a cerca,2
4882,pôr os cornos,&bullet; aquele que é enganado (sexualmente) pela mulher, calão carroceiro, cornudo; corno; pertencer à ordem de S. Cornélio,3
4883,pôr os palitos,"trair, ser (sexualmente) infiel a alguém", calão, pular a cerca; pôr os palitos a,2
4894,porra,"órgão sexual masculino, pénis, pênis", calão,,2
4899,porro,cigarro feito à mão (mistura de tabaco e haxixe|erva) , calão, ganza; charro; broca,2
4941,postal,"diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo", coloquial, chato; aborrecido; incomodativo; melga; gosma; fega; cromo; autocolante; adesivo; besunta,1
4951,prateleiras,"seios de mulher, busto", coloquial, mamas; tetas; marmelos; holofotes; peitos; faróis; pára-choques; seios; marufas,1
4987,prisa,cadeia, coloquial, pildra; choça; xilindró; prisão; calabouço; masmorras; cárcere; xadrez,1
5006,,"pronome universal que pode substituir um nome, pessoa ou ação (exprime desagrado) ", calão,,2
5007,,"pronome universal que pode substituir um nome, pessoa ou ação (exprime desagrado) ", calão,,2
5008,,"pronome universal que pode substituir um nome, pessoa ou ação (exprime desagrado) ", calão,,2
5009,prostiputa,é um:, calão carroceiro," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; barregã; cuarra; meretriz; vaca; vaca descomunal;
          vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria; rameira
        ",3
5015,proxeneta,é um:, calão, chulo; azeiteiro; azeite; macaronho,2
5021,pulha,é um:, calão," canalha; calhordas; bandalho; patife; escroque; sacana; sacripanta; sacrista; biltre; velhaco;
          futre",2
5027,punheta,"prato à base de bacalhau cru (uma espécie de salada) com cebola,
          azeitonas e tudo regado com um bom azeite.
          O bacalhau, normalmente, é desfiado.
        ", calão,none,2
5028,punheta de mamas,copular substituindo a vagina pelo seio das mamas, calão muito carroceiro, espanholada,4
5033,puta,é um:, calão carroceiro," mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau porte;
          mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",3
5034,putanheiro,&bullet; indivíduo que vive à custa de uma prostituta, calão carroceiro, gigolô; chulo; alcoviteiro; rufião,3
5035,puta que pariu!,interjeição de desagrado ou de espanto, calão carroceiro, foda-se!; caralho!; carago!; caraças; caramba; porra; poça!; droga!; chiça; arre porra!,3
5036,putaria,prática de actos libidinosos, calão carroceiro,none,3
5037,putedo,conjunto de putas, calão carroceiro, galdérias; levianas,3
5038,putéfia,é um:, calão carroceiro," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria; rameira",3
5039,puto,"&bullet; criança que está a começar a aprender coisas e a percebê-las, garoto que tem a mania que é
          esperto, criança ainda pequena que crê saber mais do que de facto sabe", calão, ganapo; pirralho; pivete; catraio; miúdo; garoto; guri; cacafelho,2
5075,queca,copular, calão carroceiro," foda; pinocada; coito; tricofáix; dar uma rapidinha; dar uma trancada; dar uma caimbrada;
          berlaitada; cambalhota",3
5076,que canudo!,interjeição de desagrado, coloquial, que caralho!; que gaita!; que merda!; que coisa!,1
5077,que caralho!,interjeição de desagrado, calão carroceiro, que canudo!; que gaita!; que merda!; que coisa!,3
5078,que coisa!,interjeição de desagrado, coloquial, que caralho!; que canudo!; que gaita!; que merda!,1
5079,que coisa chunga!,"diz-se de uma coisa pirosa e ridícula, interjeição de desaprovação", coloquial, que rabetice!; que pirusada!,1
5082,que gaita!,interjeição de desagrado, coloquial, que caralho!; que canudo!; que merda!; que coisa!,1
5083,que grande piço,ser um acto de sorte, calão, ser um piço,2
5089,queimar rosca,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cagar para dentro; cavalgar a jibóia; abusar da maçaneta; levar na anilha; tirar leito do
          pau",3
5092,quem arrota quer pichota!,é um:, calão carroceiro, quem retorquiu caralho pediu!,3
5095,que merda!,interjeição de desagrado, calão carroceiro, que caralho!; que canudo!; que gaita!; que coisa!,3
5104,quem retorquiu caralho pediu!,é um:, calão carroceiro, quem arrota quer pichota!,3
5109,quenga,é um:, calão carroceiro," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola; galdéria;
          rameira",3
5111,que pirusada!,"diz-se de uma coisa pirosa e ridícula, interjeição de desaprovação", coloquial, que rabetice!; que coisa chunga!,1
5113,que rabetice!,"diz-se de uma coisa pirosa e ridícula, interjeição de desaprovação", coloquial, que pirusada!; que coisa chunga!,1
5133,quilhar,causar prejuízos ou embaraços a alguém, coloquial, foder; tramar; lixar; prejudicar,1
5134,quilhões,elemento constituinte dos órgãos sexuais masculinos, calão muito carroceiro, colhões; tomates; testículos,4
5135,quinar,"morreu, faleceu", coloquial," bater a bota; bater o cachimbo; bater a caçoleta; bater o cacau; esticar o pernil; ir para a terra
          da verdade; ir para o céu; ir para o beleléu; ir para o jardim das tabuletas; ir para a quinta dos
          pés juntos; ir para os anjinhos; ir às malvas; passar desta para melhor; dar o peido mestre; dormir
          o sono eterno; descanso eterno; dar o último suspiro; dar o couro às vacas; abotoar o paletó;
          entregar a alma a Deus; fazer viagem sem chapéu; finar-se; anafragar; estertorar; marchar; virar
          presunto; partir deste mundo",1
5145,rabeta,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
5146,rabo,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", calão carroceiro, bunda; alcofa; cu; peida; bilha; traseiro; tutu; peidola; pacote; regueifa; cagueiro; zuate,3
5149,racha,órgão sexual feminino, calão," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",2
5158,ramada,"ficar bêbado, beber de mais", coloquial," bebedeira; carraspana; puta; piela; narsa; encher a cara; entornar o barril; entornar o caneco; ir
          a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na asa; estar
          com dois dedos de gramática; tomar um porre; encharcado",1
5161,rameira,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; reputenga; vadia; oferecida; bicha de angola;
          galdéria",2
5173,rata,órgão sexual feminino, calão estupidamente carroceiro," cona; pipi; pito; pitaço; pirona; vagina; ninho; parreco; pombinha; racha; febra; entrefolhos;
          mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça; crica; aranha;
          fanesga; boca do corpo; xana; snaita",5
5182,rebola,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",3
5185,reco,sorte, coloquial, mijo; paio; piço; chouriço,1
5194,rego,espaço entre as bochechas do cu ou das mamas, calão, cangosta; vale,2
5198,regueifa,"referente à região das nádegas ou ânus, frequentemente usado em expressões brejeiras de apreciação
          estética", coloquial, bunda; alcofa; cu; peida; rabo; bilha; traseiro; tutu; peidola; pacote; cagueiro; zuate,1
5200,reinação,"mentira, partida, brincadeira", coloquial, grupo; treta; peta; patranha; bai no Batalha,1
5201,reinaldice,é um:, coloquial,none,1
5213,reputenga,é um:, calão," puta; mulher da má vida; mulher da vida; mulher devassa; mulher promíscua; coirão; mulher de mau
          porte; mulher de meia porta; prostituta; putéfia; prostiputa; barregã; cuarra; meretriz; vaca; vaca
          descomunal; vacão; quenga; pechenga; piriguete; vadia; oferecida; bicha de angola; galdéria; rameira
        ",2
5240,ri-te ri-te que quando descobrires que a vaselina tem areia,"aviso, ameaça", calão carroceiro,none,3
5254,roto,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; abafa-palhinha; gay; bamby; xibungo",2
5316,saltar-lhe na pachacha,copular, calão carroceiro, dar nela,3
5344,são muitos anos a virar frangos,tenho muita experiência, coloquial,none,1
5348,saradão,homem muito musculado, coloquial, monstrão; Rambo,1
5349,sardão,"órgão sexual masculino, pénis, pênis", calão,,2
5353,saroto,cão com o rabo cortado, coloquial,none,1
5354,sarraceno,term depreciativo para designar os lisboetas e habitantes do sul, coloquial, mouro,1
5362,sebento,&bullet; alguma coisa que se cola a tudo, coloquial, viscoso; peganhento; pegajoso; gorduroso; emplastro,1
5369,segóvia,masturbação masculina, calão muito carroceiro," bater uma pívia; tocar à punheta; esgoviar; espancar o marreco; jogar bilhar de bolso; esgalhar o
          ganso; esgalhar o pessegueiro",4
5433,ser abichanado,"ser amaricado, de gosto duvidoso", coloquial,none,1
5448,ser aquecedor,aquece as mulheres para os outros irem lá, calão, ser microondas,2
5459,ser cavalo de cortesias,pessoa que habitualmente se excede em cumprimentos e mesuras, coloquial, cerimonioso; mesureiro,1
5473,corno,&bullet; aquele que é enganado (sexualmente) pela mulher, calão carroceiro, cornudo; pertencer à ordem de S. Cornélio; pôr os cornos,3
5474,cornudo,&bullet; aquele que é enganado (sexualmente) pela mulher, calão carroceiro, corno; pertencer à ordem de S. Cornélio; pôr os cornos,3
5508,ser do tempo do arroz de quinze,coisa muito antiga, coloquial,none,1
5514,ser fodido,"diz-se de alguma coisa ou de alguém que nos surpreendeu (pela positiva (elogio) ou pela negativa
          (desabafo de desilusão) ) ", calão, ser levado do Diabo; ser levado da breca; ser quilhado; ser lixado,2
5527,ser lixado,"diz-se de alguma coisa ou de alguém que nos surpreendeu (pela positiva (elogio) ou pela negativa
          (desabafo de desilusão) ) ", coloquial, ser levado do Diabo; ser levado da breca; ser fodido; ser quilhado,1
5530,ser mais velho que o cagar,coisa óbvia e sobejamente conhecida, calão, essa é mais velha do que o cagar de pé; vulgaridade,2
5532,ser marado dos cornos,"ser doido, sem juízo", coloquial, Sócio da fnac; amalucado; destravado; desmiolado; abiscoidato,1
5534,ser microondas,aquece as mulheres para os outros irem lá, calão carroceiro, ser aquecedor,3
5546,ser o caralho,ser algo muito difícil, calão,none,2
5554,ser óptimo a dar traques com o cu dos outros,&bullet; alguém que oferece generosamente os préstimos dos outros, calão, fazer fogo com pólvora alheia,2
5559,ser parecida com o pai,rapariga com muito pouco volume de peito, calão,none,2
5570,ser quilhado,"diz-se de alguma coisa ou de alguém que nos surpreendeu (pela positiva (elogio) ou pela negativa
          (desabafo de desilusão) ) ", coloquial, ser levado do Diabo; ser levado da breca; ser fodido; ser lixado,1
5581,ser uma baranga,"uma mulher grande, deselegante e desajeitada", calão, basculho; camafeu; cavalona; fubanga; ser um bacalhau,2
5597,mulher de cona funda,é um:, calão muito carroceiro, mulher de armas; padeira de Aljubarrota,4
5609,ser um bananas,&bullet; alguém que não (se impõe|tem vontade própria) , calão, ser um bola de naftalina,2
5618,ser um cagalhão engomado,uma pessoa vaidosa e bem vestida mas que não vale nada, calão,none,2
5621,ser um casca-grossa,é um:, calão," bertoldo; burgesso; ordinário; alarve; boçal; analfabruto; analfabesta; grosseiro; brutamontes;
          achavascado; rude; matarruano",2
5634,ser um homem com tomates,ser valente, coloquial, ter-os no sítio,1
5639,não fede nem cheira,"&bullet; pessoa de fracas posses ou condição e que o evidencia no seu comportamento ou no trajar.
          Rasca", calão, Zé-Ninguém; borra-botas,2
5649,ser um peida gadocha,é um:, calão,none,2
5650,ser um pé no saco,&bullet; ser difícil, calão, ser um osso duro de roer; ser dose; não ser pêra doce,2
5651,ser um piço,ser um acto de sorte, calão, que grande piço,2
5682,siririca,masturbação feminina, calão muito carroceiro,none,4
5684,snaita,órgão sexual feminino, calão carroceiro," cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          crica; aranha; fanesga; boca do corpo; xana",3
5693,só chupanço por aqui," ""só chupanços por aqui"" resposta caustica quando alguém diz,
          ""és linda"" , ""muito gira"" etc ", calão,none,2
5749,subir na horizontal,usar de favores sexuais para subir profissionalmente, coloquial,none,1
5753,sulfato de peúga,mau cheiro dos pés, coloquial, chulé; arma de desdruição massiva,1
5755,supra-sumo da barbatana,"&bullet; algo ou alguém que é apresentado como excepcional, mas que é irrelevante", coloquial, supra-sumo da batata,1
5756,supra-sumo da batata,"&bullet; algo ou alguém que é apresentado como excepcional, mas que é irrelevante", coloquial, supra-sumo da barbatana,1
5762,surrapiar,é um:, coloquial,none,1
5763,surripiar,"furtar, roubar", coloquial," bifar; pifar; gamar; afanar; gardanho; rapinar; fanar; roubar; palmar; empalmar; fazer mão leve a
        ",1
5766,tá a andar de mota,desaparece!, calão, põe-te a andar!; põe-te a milhas!; baza!; monta num porco e baza!; desanda!; põe-te na alheta!,2
5771,taco,dinheiro, coloquial," carcanhois; bago; cacau; caroço; graveto; granfo; papel; patacão; pilim; cheta; massa; vil metal;
          grana; pastel; pasta; dinheiro; guito; guita; tutu; verdinha",1
5773,taco de pia,pessoa pequena, calão, caga-tacos; rodas-baixas; minorca; roda 24,2
5813,taveirada,é um:, calão,none,2
5837,Tens mais cornos que um prato de caracóis meu grande filho da puta !,insulto a árbitro do mais violento e arrasador que se consegue, calão carroceiro," Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada; Corta a tua mãe às postas e faz
          arroz de puta; Filho de um saco de putas",3
5857,ter a rosca moída,"ser ou parecer maluco, apresentar comportamentos completamente irracionais", coloquial," ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter pancada na mola; não
          bater bem da bola; bater mal da tola; não ser bom da cabeça",1
5886,ter de comer muita broa,"ainda te falta crescer, evoluir, aprender muita coisas", coloquial, ter muito que andar,1
5934,ter o cu quadrado,ter as nádegas doridas de se ter estado demasiado tempo sentado, calão,none,2
5943,ter-os no sítio,ser valente, coloquial, ser um homem com tomates,1
5950,ter pancada na mola,"ser ou parecer maluco, apresentar comportamentos completamente irracionais", coloquial," ter macaquinhos no sótão; faltar-lhe um parafuso; ter um parafuso a menos; ter a rosca moída; não
          bater bem da bola; bater mal da tola; não ser bom da cabeça",1
5974,ter três vinténs,(tirar|ter) a virgindade, calão carroceiro, tirar os três,3
5989,ter um parafuso a menos,"ser ou parecer maluco, apresentar comportamentos completamente irracionais", coloquial," ter macaquinhos no sótão; faltar-lhe um parafuso; ter pancada na mola; ter a rosca moída; não bater
          bem da bola; bater mal da tola; não ser bom da cabeça",1
5997,tesão,"emoção, vontade", calão, não dar pica,2
6001,tetas,"seios de mulher, busto", calão, mamas; marmelos; holofotes; peitos; faróis; pára-choques; seios; prateleiras; marufas,2
6007,tipo,"usa-se como um modo, ligeiramente irreverente, de referir uma pessoa", coloquial, gajo; meco; caramelo; indivíduo; fulano; fabiano; bacano; mano; melro,1
6018,tirar do cu com um gancho,"&bullet; atividade mal feita, feita à pressa, sem planeamento, sem arte", calão carroceiro," atamancado; feito em cima dos joelhos; feito às três pancadas; meia bola e força; pontapé para a
          frente e fé em Deus; de qualquer maneira; improvisar",3
6020,tirar leito do pau,fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) , calão carroceiro," dar o cu; cagar para dentro; cavalgar a jibóia; abusar da maçaneta; levar na anilha; queimar rosca
        ",3
6025,tirar os três,(tirar|ter) a virgindade, calão carroceiro, ter três vinténs,3
6039,tocar à punheta,masturbação masculina, calão estupidamente carroceiro," bater uma pívia; segóvia; esgoviar; espancar o marreco; jogar bilhar de bolso; esgalhar o ganso;
          esgalhar o pessegueiro",5
6055,toino,é um:, coloquial, parolo; saloio; tosco; broeiro; rude; montanheiro,1
6080,tomar um porre,"ficar bêbado, beber de mais", calão," bebedeira; carraspana; ramada; puta; piela; narsa; encher a cara; entornar o barril; entornar o
          caneco; ir a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na
          asa; estar com dois dedos de gramática; encharcado",2
6081,tomates,é um:, calão, colhões; quilhões; testículos,2
6099,tosga,"ficar bêbado, beber de mais", calão," bebedeira; carraspana; ramada; puta; piela; narsa; encher a cara; entornar o barril; entornar o
          caneco; ir a trocar o passo; lamber o garrafão; buba; derrubar a adega; estar com um grão na asa;
          estar com dois dedos de gramática; tomar um porre; encharcado",2
6102,toura,mulher ou rapariga muito jeitosa, calão, tuxa; mulher boa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho,2
6122,transar,ter relações sexuais, calão,,2
6126,traque,saída de gazes intestinais, calão, peido; flatulência; bufa; farpa; pum; bombarda,2
6153,trepar ao poste apalpar o cu às lâmpadas,estar em desespero sexual, calão carroceiro,none,3
6158,treta,"mentira, partida, brincadeira", coloquial, grupo; peta; patranha; reinação; bai no Batalha,1
6172,trocar de time,mudar de sexo, calão carroceiro,none,3
6178,tromba,designação pejorativa da cara de alguém, coloquial, focinho; ventas; fronha; cara,1
6179,trombada,"acto sexual oro-genital, lamber a vagina", calão muito carroceiro, minete; cunilingus; lamber-te; passar a casa a pano; felácio; broche feminino,4
6180,trombeiro,pessoa que faz o cunnilingus, calão muito carroceiro, mineteiro,4
6196,tuxa,mulher ou rapariga muito jeitosa, coloquial, toura; mulher boa; bomba; boazona; és toda grossa; pitéu; conaça; fema; borracho,1
6213,uma ova!,é um:, coloquial," o teu avô torto!; a tua avó torta; é o tanas!; tanas, badanas e barbatanas",1
6236,um pijaminha de,retirar apenas uma amostra de vários elementos (tipicamente alimentos) , coloquial,none,1
6248,unhas de fome,&bullet; pessoa muito agarrada ao dinheiro, calão," avarento; sovina; forreta; futre; somítico; pelintra; agarrado; pão duro; pirangueiro; mão de vaca;
          murrinha",2
